model,drug,input_type,split,auc,fpr,tpr
lr,isoniazid,card,val,0.5361403508771929,0.0,0.0
lr,isoniazid,card,val,0.5361403508771929,0.02666666666666667,0.0
lr,isoniazid,card,val,0.5361403508771929,0.05333333333333334,0.02631578947368421
lr,isoniazid,card,val,0.5361403508771929,0.56,0.6578947368421053
lr,isoniazid,card,val,0.5361403508771929,0.5733333333333334,0.6578947368421053
lr,isoniazid,card,val,0.5361403508771929,1.0,1.0
lr,isoniazid,card,test,0.4980701754385965,0.0,0.0
lr,isoniazid,card,test,0.4980701754385965,0.04,0.0
lr,isoniazid,card,test,0.4980701754385965,0.64,0.6578947368421053
lr,isoniazid,card,test,0.4980701754385965,0.9866666666666667,1.0
lr,isoniazid,card,test,0.4980701754385965,1.0,1.0
