model,drug,input_type,split,auc,fpr,tpr
lr,rifampicin,card,val,0.5162259615384616,0.0,0.0
lr,rifampicin,card,val,0.5162259615384616,0.6025641025641025,0.65625
lr,rifampicin,card,val,0.5162259615384616,0.9871794871794872,0.9375
lr,rifampicin,card,val,0.5162259615384616,1.0,0.9375
lr,rifampicin,card,val,0.5162259615384616,1.0,1.0
lr,rifampicin,card,test,0.5198040016333197,0.0,0.0
lr,rifampicin,card,test,0.5198040016333197,0.5316455696202531,0.5483870967741935
lr,rifampicin,card,test,0.5198040016333197,0.9493670886075949,1.0
lr,rifampicin,card,test,0.5198040016333197,0.9873417721518988,1.0
lr,rifampicin,card,test,0.5198040016333197,1.0,1.0
