model,drug,input_type,split,auc,fpr,tpr
lr,ethambutol,pan_card,val,0.8999999999999999,0.0,0.0
lr,ethambutol,pan_card,val,0.8999999999999999,0.0,0.16666666666666666
lr,ethambutol,pan_card,val,0.8999999999999999,0.05,0.16666666666666666
lr,ethambutol,pan_card,val,0.8999999999999999,0.05,0.6666666666666666
lr,ethambutol,pan_card,val,0.8999999999999999,0.2,0.6666666666666666
lr,ethambutol,pan_card,val,0.8999999999999999,0.2,0.8333333333333334
lr,ethambutol,pan_card,val,0.8999999999999999,0.25,0.8333333333333334
lr,ethambutol,pan_card,val,0.8999999999999999,0.25,1.0
lr,ethambutol,pan_card,val,0.8999999999999999,1.0,1.0
lr,ethambutol,pan_card,test,0.7047619047619048,0.0,0.0
lr,ethambutol,pan_card,test,0.7047619047619048,0.047619047619047616,0.0
lr,ethambutol,pan_card,test,0.7047619047619048,0.09523809523809523,0.0
lr,ethambutol,pan_card,test,0.7047619047619048,0.09523809523809523,0.4
lr,ethambutol,pan_card,test,0.7047619047619048,0.38095238095238093,0.4
lr,ethambutol,pan_card,test,0.7047619047619048,0.38095238095238093,0.8
lr,ethambutol,pan_card,test,0.7047619047619048,0.5238095238095238,0.8
lr,ethambutol,pan_card,test,0.7047619047619048,0.5238095238095238,1.0
lr,ethambutol,pan_card,test,0.7047619047619048,1.0,1.0
