model,drug,input_type,split,auc,fpr,tpr
rf,ethambutol,pan_card,val,0.7749999999999999,0.0,0.0
rf,ethambutol,pan_card,val,0.7749999999999999,0.05,0.0
rf,ethambutol,pan_card,val,0.7749999999999999,0.05,0.6666666666666666
rf,ethambutol,pan_card,val,0.7749999999999999,0.55,0.6666666666666666
rf,ethambutol,pan_card,val,0.7749999999999999,0.55,0.8333333333333334
rf,ethambutol,pan_card,val,0.7749999999999999,0.6,0.8333333333333334
rf,ethambutol,pan_card,val,0.7749999999999999,0.6,1.0
rf,ethambutol,pan_card,val,0.7749999999999999,1.0,1.0
rf,ethambutol,pan_card,test,0.6571428571428573,0.0,0.0
rf,ethambutol,pan_card,test,0.6571428571428573,0.047619047619047616,0.0
rf,ethambutol,pan_card,test,0.6571428571428573,0.14285714285714285,0.0
rf,ethambutol,pan_card,test,0.6571428571428573,0.14285714285714285,0.4
rf,ethambutol,pan_card,test,0.6571428571428573,0.42857142857142855,0.4
rf,ethambutol,pan_card,test,0.6571428571428573,0.42857142857142855,0.8
rf,ethambutol,pan_card,test,0.6571428571428573,0.5714285714285714,0.8
rf,ethambutol,pan_card,test,0.6571428571428573,0.5714285714285714,1.0
rf,ethambutol,pan_card,test,0.6571428571428573,1.0,1.0
