model,drug,input_type,split,auc,fpr,tpr
lr,isoniazid,pan_card,val,0.753968253968254,0.0,0.0
lr,isoniazid,pan_card,val,0.753968253968254,0.0,0.08333333333333333
lr,isoniazid,pan_card,val,0.753968253968254,0.0,0.25
lr,isoniazid,pan_card,val,0.753968253968254,0.047619047619047616,0.25
lr,isoniazid,pan_card,val,0.753968253968254,0.047619047619047616,0.3333333333333333
lr,isoniazid,pan_card,val,0.753968253968254,0.09523809523809523,0.3333333333333333
lr,isoniazid,pan_card,val,0.753968253968254,0.09523809523809523,0.5
lr,isoniazid,pan_card,val,0.753968253968254,0.19047619047619047,0.5
lr,isoniazid,pan_card,val,0.753968253968254,0.19047619047619047,0.5833333333333334
lr,isoniazid,pan_card,val,0.753968253968254,0.23809523809523808,0.5833333333333334
lr,isoniazid,pan_card,val,0.753968253968254,0.23809523809523808,0.75
lr,isoniazid,pan_card,val,0.753968253968254,0.42857142857142855,0.75
lr,isoniazid,pan_card,val,0.753968253968254,0.42857142857142855,0.8333333333333334
lr,isoniazid,pan_card,val,0.753968253968254,0.6666666666666666,0.8333333333333334
lr,isoniazid,pan_card,val,0.753968253968254,0.6666666666666666,0.9166666666666666
lr,isoniazid,pan_card,val,0.753968253968254,0.9523809523809523,0.9166666666666666
lr,isoniazid,pan_card,val,0.753968253968254,0.9523809523809523,1.0
lr,isoniazid,pan_card,val,0.753968253968254,1.0,1.0
lr,isoniazid,pan_card,test,0.6428571428571428,0.0,0.0
lr,isoniazid,pan_card,test,0.6428571428571428,0.0,0.08333333333333333
lr,isoniazid,pan_card,test,0.6428571428571428,0.047619047619047616,0.08333333333333333
lr,isoniazid,pan_card,test,0.6428571428571428,0.047619047619047616,0.16666666666666666
lr,isoniazid,pan_card,test,0.6428571428571428,0.14285714285714285,0.16666666666666666
lr,isoniazid,pan_card,test,0.6428571428571428,0.14285714285714285,0.3333333333333333
lr,isoniazid,pan_card,test,0.6428571428571428,0.19047619047619047,0.3333333333333333
lr,isoniazid,pan_card,test,0.6428571428571428,0.19047619047619047,0.5
lr,isoniazid,pan_card,test,0.6428571428571428,0.23809523809523808,0.5
lr,isoniazid,pan_card,test,0.6428571428571428,0.23809523809523808,0.6666666666666666
lr,isoniazid,pan_card,test,0.6428571428571428,0.3333333333333333,0.6666666666666666
lr,isoniazid,pan_card,test,0.6428571428571428,0.3333333333333333,0.75
lr,isoniazid,pan_card,test,0.6428571428571428,0.8095238095238095,0.75
lr,isoniazid,pan_card,test,0.6428571428571428,0.8095238095238095,0.8333333333333334
lr,isoniazid,pan_card,test,0.6428571428571428,0.9523809523809523,0.8333333333333334
lr,isoniazid,pan_card,test,0.6428571428571428,0.9523809523809523,0.9166666666666666
lr,isoniazid,pan_card,test,0.6428571428571428,1.0,0.9166666666666666
lr,isoniazid,pan_card,test,0.6428571428571428,1.0,1.0
