model,drug,input_type,split,auc,fpr,tpr
lr,rifampicin,pan_card,val,0.6147186147186148,0.0,0.0
lr,rifampicin,pan_card,val,0.6147186147186148,0.047619047619047616,0.0
lr,rifampicin,pan_card,val,0.6147186147186148,0.047619047619047616,0.18181818181818182
lr,rifampicin,pan_card,val,0.6147186147186148,0.09523809523809523,0.18181818181818182
lr,rifampicin,pan_card,val,0.6147186147186148,0.09523809523809523,0.2727272727272727
lr,rifampicin,pan_card,val,0.6147186147186148,0.14285714285714285,0.2727272727272727
lr,rifampicin,pan_card,val,0.6147186147186148,0.14285714285714285,0.45454545454545453
lr,rifampicin,pan_card,val,0.6147186147186148,0.19047619047619047,0.45454545454545453
lr,rifampicin,pan_card,val,0.6147186147186148,0.19047619047619047,0.5454545454545454
lr,rifampicin,pan_card,val,0.6147186147186148,0.38095238095238093,0.5454545454545454
lr,rifampicin,pan_card,val,0.6147186147186148,0.38095238095238093,0.6363636363636364
lr,rifampicin,pan_card,val,0.6147186147186148,0.47619047619047616,0.6363636363636364
lr,rifampicin,pan_card,val,0.6147186147186148,0.47619047619047616,0.7272727272727273
lr,rifampicin,pan_card,val,0.6147186147186148,0.7619047619047619,0.7272727272727273
lr,rifampicin,pan_card,val,0.6147186147186148,0.7619047619047619,0.8181818181818182
lr,rifampicin,pan_card,val,0.6147186147186148,0.9523809523809523,0.8181818181818182
lr,rifampicin,pan_card,val,0.6147186147186148,0.9523809523809523,0.9090909090909091
lr,rifampicin,pan_card,val,0.6147186147186148,1.0,0.9090909090909091
lr,rifampicin,pan_card,val,0.6147186147186148,1.0,1.0
lr,rifampicin,pan_card,test,0.7975206611570248,0.0,0.0
lr,rifampicin,pan_card,test,0.7975206611570248,0.0,0.09090909090909091
lr,rifampicin,pan_card,test,0.7975206611570248,0.0,0.5454545454545454
lr,rifampicin,pan_card,test,0.7975206611570248,0.4090909090909091,0.5454545454545454
lr,rifampicin,pan_card,test,0.7975206611570248,0.4090909090909091,0.8181818181818182
lr,rifampicin,pan_card,test,0.7975206611570248,0.5,0.8181818181818182
lr,rifampicin,pan_card,test,0.7975206611570248,0.5,1.0
lr,rifampicin,pan_card,test,0.7975206611570248,1.0,1.0
