model,drug,input_type,split,auc,fpr,tpr
rf,streptomycin,pan_card,val,0.5833333333333334,0.0,0.0
rf,streptomycin,pan_card,val,0.5833333333333334,0.125,0.0
rf,streptomycin,pan_card,val,0.5833333333333334,0.25,0.0
rf,streptomycin,pan_card,val,0.5833333333333334,0.25,0.3333333333333333
rf,streptomycin,pan_card,val,0.5833333333333334,0.5,0.3333333333333333
rf,streptomycin,pan_card,val,0.5833333333333334,0.5,1.0
rf,streptomycin,pan_card,val,0.5833333333333334,1.0,1.0
rf,streptomycin,pan_card,test,0.59375,0.0,0.0
rf,streptomycin,pan_card,test,0.59375,0.0,0.25
rf,streptomycin,pan_card,test,0.59375,0.125,0.25
rf,streptomycin,pan_card,test,0.59375,0.125,0.5
rf,streptomycin,pan_card,test,0.59375,0.75,0.5
rf,streptomycin,pan_card,test,0.59375,0.75,1.0
rf,streptomycin,pan_card,test,0.59375,1.0,1.0
