model,drug,input_type,split,auc,fpr,tpr
lr,ethambutol,pan,val,0.7106060606060606,0.0,0.0
lr,ethambutol,pan,val,0.7106060606060606,0.011363636363636364,0.0
lr,ethambutol,pan,val,0.7106060606060606,0.022727272727272728,0.06666666666666667
lr,ethambutol,pan,val,0.7106060606060606,0.022727272727272728,0.2
lr,ethambutol,pan,val,0.7106060606060606,0.045454545454545456,0.2
lr,ethambutol,pan,val,0.7106060606060606,0.056818181818181816,0.26666666666666666
lr,ethambutol,pan,val,0.7106060606060606,0.056818181818181816,0.3333333333333333
lr,ethambutol,pan,val,0.7106060606060606,0.09090909090909091,0.3333333333333333
lr,ethambutol,pan,val,0.7106060606060606,0.09090909090909091,0.4
lr,ethambutol,pan,val,0.7106060606060606,0.17045454545454544,0.4
lr,ethambutol,pan,val,0.7106060606060606,0.17045454545454544,0.4666666666666667
lr,ethambutol,pan,val,0.7106060606060606,0.32954545454545453,0.4666666666666667
lr,ethambutol,pan,val,0.7106060606060606,0.32954545454545453,0.6666666666666666
lr,ethambutol,pan,val,0.7106060606060606,0.36363636363636365,0.6666666666666666
lr,ethambutol,pan,val,0.7106060606060606,0.36363636363636365,0.8
lr,ethambutol,pan,val,0.7106060606060606,0.5909090909090909,0.8
lr,ethambutol,pan,val,0.7106060606060606,0.5909090909090909,0.8666666666666667
lr,ethambutol,pan,val,0.7106060606060606,0.7727272727272727,0.8666666666666667
lr,ethambutol,pan,val,0.7106060606060606,0.7727272727272727,0.9333333333333333
lr,ethambutol,pan,val,0.7106060606060606,0.8295454545454546,0.9333333333333333
lr,ethambutol,pan,val,0.7106060606060606,0.8295454545454546,1.0
lr,ethambutol,pan,val,0.7106060606060606,1.0,1.0
lr,ethambutol,pan,test,0.7584269662921348,0.0,0.0
lr,ethambutol,pan,test,0.7584269662921348,0.0,0.07142857142857142
lr,ethambutol,pan,test,0.7584269662921348,0.02247191011235955,0.07142857142857142
lr,ethambutol,pan,test,0.7584269662921348,0.02247191011235955,0.2857142857142857
lr,ethambutol,pan,test,0.7584269662921348,0.06741573033707865,0.2857142857142857
lr,ethambutol,pan,test,0.7584269662921348,0.06741573033707865,0.5
lr,ethambutol,pan,test,0.7584269662921348,0.10112359550561797,0.5
lr,ethambutol,pan,test,0.7584269662921348,0.10112359550561797,0.5714285714285714
lr,ethambutol,pan,test,0.7584269662921348,0.19101123595505617,0.5714285714285714
lr,ethambutol,pan,test,0.7584269662921348,0.19101123595505617,0.6428571428571429
lr,ethambutol,pan,test,0.7584269662921348,0.20224719101123595,0.6428571428571429
lr,ethambutol,pan,test,0.7584269662921348,0.20224719101123595,0.7142857142857143
lr,ethambutol,pan,test,0.7584269662921348,0.3595505617977528,0.7142857142857143
lr,ethambutol,pan,test,0.7584269662921348,0.3595505617977528,0.7857142857142857
lr,ethambutol,pan,test,0.7584269662921348,0.3707865168539326,0.7857142857142857
lr,ethambutol,pan,test,0.7584269662921348,0.3707865168539326,0.8571428571428571
lr,ethambutol,pan,test,0.7584269662921348,0.9101123595505618,0.8571428571428571
lr,ethambutol,pan,test,0.7584269662921348,0.9101123595505618,0.9285714285714286
lr,ethambutol,pan,test,0.7584269662921348,0.9775280898876404,0.9285714285714286
lr,ethambutol,pan,test,0.7584269662921348,0.9775280898876404,1.0
lr,ethambutol,pan,test,0.7584269662921348,1.0,1.0
