model,drug,input_type,split,auc,fpr,tpr
rf,ethambutol,pan,val,0.740909090909091,0.0,0.0
rf,ethambutol,pan,val,0.740909090909091,0.0,0.06666666666666667
rf,ethambutol,pan,val,0.740909090909091,0.022727272727272728,0.06666666666666667
rf,ethambutol,pan,val,0.740909090909091,0.022727272727272728,0.13333333333333333
rf,ethambutol,pan,val,0.740909090909091,0.03409090909090909,0.13333333333333333
rf,ethambutol,pan,val,0.740909090909091,0.03409090909090909,0.2
rf,ethambutol,pan,val,0.740909090909091,0.056818181818181816,0.2
rf,ethambutol,pan,val,0.740909090909091,0.056818181818181816,0.26666666666666666
rf,ethambutol,pan,val,0.740909090909091,0.06818181818181818,0.26666666666666666
rf,ethambutol,pan,val,0.740909090909091,0.06818181818181818,0.4
rf,ethambutol,pan,val,0.740909090909091,0.09090909090909091,0.4
rf,ethambutol,pan,val,0.740909090909091,0.09090909090909091,0.4666666666666667
rf,ethambutol,pan,val,0.740909090909091,0.17045454545454544,0.4666666666666667
rf,ethambutol,pan,val,0.740909090909091,0.17045454545454544,0.5333333333333333
rf,ethambutol,pan,val,0.740909090909091,0.18181818181818182,0.5333333333333333
rf,ethambutol,pan,val,0.740909090909091,0.18181818181818182,0.6666666666666666
rf,ethambutol,pan,val,0.740909090909091,0.36363636363636365,0.6666666666666666
rf,ethambutol,pan,val,0.740909090909091,0.36363636363636365,0.7333333333333333
rf,ethambutol,pan,val,0.740909090909091,0.48863636363636365,0.7333333333333333
rf,ethambutol,pan,val,0.740909090909091,0.48863636363636365,0.8
rf,ethambutol,pan,val,0.740909090909091,0.6022727272727273,0.8
rf,ethambutol,pan,val,0.740909090909091,0.6022727272727273,0.8666666666666667
rf,ethambutol,pan,val,0.740909090909091,0.625,0.8666666666666667
rf,ethambutol,pan,val,0.740909090909091,0.625,0.9333333333333333
rf,ethambutol,pan,val,0.740909090909091,0.9318181818181818,0.9333333333333333
rf,ethambutol,pan,val,0.740909090909091,0.9318181818181818,1.0
rf,ethambutol,pan,val,0.740909090909091,1.0,1.0
rf,ethambutol,pan,test,0.8330658105939006,0.0,0.0
rf,ethambutol,pan,test,0.8330658105939006,0.011235955056179775,0.0
rf,ethambutol,pan,test,0.8330658105939006,0.056179775280898875,0.0
rf,ethambutol,pan,test,0.8330658105939006,0.056179775280898875,0.5714285714285714
rf,ethambutol,pan,test,0.8330658105939006,0.07865168539325842,0.5714285714285714
rf,ethambutol,pan,test,0.8330658105939006,0.07865168539325842,0.6428571428571429
rf,ethambutol,pan,test,0.8330658105939006,0.0898876404494382,0.6428571428571429
rf,ethambutol,pan,test,0.8330658105939006,0.0898876404494382,0.7142857142857143
rf,ethambutol,pan,test,0.8330658105939006,0.12359550561797752,0.7142857142857143
rf,ethambutol,pan,test,0.8330658105939006,0.12359550561797752,0.7857142857142857
rf,ethambutol,pan,test,0.8330658105939006,0.1797752808988764,0.7857142857142857
rf,ethambutol,pan,test,0.8330658105939006,0.1797752808988764,0.8571428571428571
rf,ethambutol,pan,test,0.8330658105939006,0.4943820224719101,0.8571428571428571
rf,ethambutol,pan,test,0.8330658105939006,0.4943820224719101,0.9285714285714286
rf,ethambutol,pan,test,0.8330658105939006,0.9213483146067416,0.9285714285714286
rf,ethambutol,pan,test,0.8330658105939006,0.9213483146067416,1.0
rf,ethambutol,pan,test,0.8330658105939006,1.0,1.0
