model,drug,input_type,split,auc,fpr,tpr
rf,isoniazid,pan,val,0.695613776861937,0.0,0.0
rf,isoniazid,pan,val,0.695613776861937,0.0,0.023255813953488372
rf,isoniazid,pan,val,0.695613776861937,0.0,0.13953488372093023
rf,isoniazid,pan,val,0.695613776861937,0.012658227848101266,0.13953488372093023
rf,isoniazid,pan,val,0.695613776861937,0.012658227848101266,0.16279069767441862
rf,isoniazid,pan,val,0.695613776861937,0.02531645569620253,0.16279069767441862
rf,isoniazid,pan,val,0.695613776861937,0.02531645569620253,0.23255813953488372
rf,isoniazid,pan,val,0.695613776861937,0.05063291139240506,0.23255813953488372
rf,isoniazid,pan,val,0.695613776861937,0.05063291139240506,0.27906976744186046
rf,isoniazid,pan,val,0.695613776861937,0.0759493670886076,0.27906976744186046
rf,isoniazid,pan,val,0.695613776861937,0.0759493670886076,0.32558139534883723
rf,isoniazid,pan,val,0.695613776861937,0.16455696202531644,0.32558139534883723
rf,isoniazid,pan,val,0.695613776861937,0.16455696202531644,0.3953488372093023
rf,isoniazid,pan,val,0.695613776861937,0.189873417721519,0.3953488372093023
rf,isoniazid,pan,val,0.695613776861937,0.189873417721519,0.4186046511627907
rf,isoniazid,pan,val,0.695613776861937,0.20253164556962025,0.4186046511627907
rf,isoniazid,pan,val,0.695613776861937,0.20253164556962025,0.4418604651162791
rf,isoniazid,pan,val,0.695613776861937,0.21518987341772153,0.4418604651162791
rf,isoniazid,pan,val,0.695613776861937,0.21518987341772153,0.5116279069767442
rf,isoniazid,pan,val,0.695613776861937,0.24050632911392406,0.5116279069767442
rf,isoniazid,pan,val,0.695613776861937,0.24050632911392406,0.5348837209302325
rf,isoniazid,pan,val,0.695613776861937,0.25316455696202533,0.5348837209302325
rf,isoniazid,pan,val,0.695613776861937,0.25316455696202533,0.5581395348837209
rf,isoniazid,pan,val,0.695613776861937,0.2911392405063291,0.5581395348837209
rf,isoniazid,pan,val,0.695613776861937,0.2911392405063291,0.5813953488372093
rf,isoniazid,pan,val,0.695613776861937,0.3291139240506329,0.5813953488372093
rf,isoniazid,pan,val,0.695613776861937,0.3291139240506329,0.6046511627906976
rf,isoniazid,pan,val,0.695613776861937,0.34177215189873417,0.6046511627906976
rf,isoniazid,pan,val,0.695613776861937,0.34177215189873417,0.6744186046511628
rf,isoniazid,pan,val,0.695613776861937,0.4430379746835443,0.6744186046511628
rf,isoniazid,pan,val,0.695613776861937,0.4430379746835443,0.6976744186046512
rf,isoniazid,pan,val,0.695613776861937,0.4810126582278481,0.6976744186046512
rf,isoniazid,pan,val,0.695613776861937,0.4810126582278481,0.7441860465116279
rf,isoniazid,pan,val,0.695613776861937,0.5063291139240507,0.7441860465116279
rf,isoniazid,pan,val,0.695613776861937,0.5063291139240507,0.7674418604651163
rf,isoniazid,pan,val,0.695613776861937,0.5569620253164557,0.7674418604651163
rf,isoniazid,pan,val,0.695613776861937,0.5569620253164557,0.7906976744186046
rf,isoniazid,pan,val,0.695613776861937,0.5949367088607594,0.7906976744186046
rf,isoniazid,pan,val,0.695613776861937,0.5949367088607594,0.813953488372093
rf,isoniazid,pan,val,0.695613776861937,0.6075949367088608,0.813953488372093
rf,isoniazid,pan,val,0.695613776861937,0.6075949367088608,0.8372093023255814
rf,isoniazid,pan,val,0.695613776861937,0.6582278481012658,0.8372093023255814
rf,isoniazid,pan,val,0.695613776861937,0.6582278481012658,0.8604651162790697
rf,isoniazid,pan,val,0.695613776861937,0.6835443037974683,0.8604651162790697
rf,isoniazid,pan,val,0.695613776861937,0.6835443037974683,0.9069767441860465
