model,drug,input_type,split,auc,fpr,tpr
lr,rifampicin,pan,val,0.7813725490196078,0.0,0.0
lr,rifampicin,pan,val,0.7813725490196078,0.10588235294117647,0.4166666666666667
lr,rifampicin,pan,val,0.7813725490196078,0.10588235294117647,0.4444444444444444
lr,rifampicin,pan,val,0.7813725490196078,0.12941176470588237,0.4444444444444444
lr,rifampicin,pan,val,0.7813725490196078,0.15294117647058825,0.4722222222222222
lr,rifampicin,pan,val,0.7813725490196078,0.15294117647058825,0.5555555555555556
lr,rifampicin,pan,val,0.7813725490196078,0.15294117647058825,0.5833333333333334
lr,rifampicin,pan,val,0.7813725490196078,0.18823529411764706,0.6111111111111112
lr,rifampicin,pan,val,0.7813725490196078,0.2,0.6388888888888888
lr,rifampicin,pan,val,0.7813725490196078,0.23529411764705882,0.6388888888888888
lr,rifampicin,pan,val,0.7813725490196078,0.27058823529411763,0.6388888888888888
lr,rifampicin,pan,val,0.7813725490196078,0.27058823529411763,0.6666666666666666
lr,rifampicin,pan,val,0.7813725490196078,0.2823529411764706,0.6666666666666666
lr,rifampicin,pan,val,0.7813725490196078,0.2823529411764706,0.6944444444444444
lr,rifampicin,pan,val,0.7813725490196078,0.3058823529411765,0.6944444444444444
lr,rifampicin,pan,val,0.7813725490196078,0.35294117647058826,0.7777777777777778
lr,rifampicin,pan,val,0.7813725490196078,0.36470588235294116,0.8055555555555556
lr,rifampicin,pan,val,0.7813725490196078,0.4235294117647059,0.8333333333333334
lr,rifampicin,pan,val,0.7813725490196078,0.4588235294117647,0.8333333333333334
lr,rifampicin,pan,val,0.7813725490196078,0.47058823529411764,0.8333333333333334
lr,rifampicin,pan,val,0.7813725490196078,0.5058823529411764,0.8888888888888888
lr,rifampicin,pan,val,0.7813725490196078,0.5294117647058824,0.8888888888888888
lr,rifampicin,pan,val,0.7813725490196078,0.5529411764705883,0.8888888888888888
lr,rifampicin,pan,val,0.7813725490196078,0.5882352941176471,0.9166666666666666
lr,rifampicin,pan,val,0.7813725490196078,0.611764705882353,0.9166666666666666
lr,rifampicin,pan,val,0.7813725490196078,0.6588235294117647,0.9722222222222222
lr,rifampicin,pan,val,0.7813725490196078,0.7058823529411765,0.9722222222222222
lr,rifampicin,pan,val,0.7813725490196078,0.7764705882352941,1.0
lr,rifampicin,pan,val,0.7813725490196078,0.8,1.0
lr,rifampicin,pan,val,0.7813725490196078,0.8823529411764706,1.0
lr,rifampicin,pan,val,0.7813725490196078,0.8941176470588236,1.0
lr,rifampicin,pan,val,0.7813725490196078,1.0,1.0
lr,rifampicin,pan,test,0.6614617940199335,0.0,0.0
lr,rifampicin,pan,test,0.6614617940199335,0.08139534883720931,0.2571428571428571
lr,rifampicin,pan,test,0.6614617940199335,0.10465116279069768,0.2571428571428571
lr,rifampicin,pan,test,0.6614617940199335,0.12790697674418605,0.3142857142857143
lr,rifampicin,pan,test,0.6614617940199335,0.13953488372093023,0.3142857142857143
lr,rifampicin,pan,test,0.6614617940199335,0.16279069767441862,0.34285714285714286
lr,rifampicin,pan,test,0.6614617940199335,0.18604651162790697,0.34285714285714286
lr,rifampicin,pan,test,0.6614617940199335,0.19767441860465115,0.4
lr,rifampicin,pan,test,0.6614617940199335,0.22093023255813954,0.4
lr,rifampicin,pan,test,0.6614617940199335,0.2441860465116279,0.4
lr,rifampicin,pan,test,0.6614617940199335,0.2441860465116279,0.42857142857142855
lr,rifampicin,pan,test,0.6614617940199335,0.26744186046511625,0.45714285714285713
lr,rifampicin,pan,test,0.6614617940199335,0.27906976744186046,0.5142857142857142
lr,rifampicin,pan,test,0.6614617940199335,0.313953488372093,0.6
lr,rifampicin,pan,test,0.6614617940199335,0.32558139534883723,0.6857142857142857
lr,rifampicin,pan,test,0.6614617940199335,0.3372093023255814,0.6857142857142857
lr,rifampicin,pan,test,0.6614617940199335,0.37209302325581395,0.6857142857142857
lr,rifampicin,pan,test,0.6614617940199335,0.3953488372093023,0.7428571428571429
lr,rifampicin,pan,test,0.6614617940199335,0.47674418604651164,0.7428571428571429
lr,rifampicin,pan,test,0.6614617940199335,0.4883720930232558,0.7428571428571429
lr,rifampicin,pan,test,0.6614617940199335,0.5232558139534884,0.7428571428571429
lr,rifampicin,pan,test,0.6614617940199335,0.5348837209302325,0.7428571428571429
lr,rifampicin,pan,test,0.6614617940199335,0.5465116279069767,0.7714285714285715
lr,rifampicin,pan,test,0.6614617940199335,0.5697674418604651,0.7714285714285715
lr,rifampicin,pan,test,0.6614617940199335,0.6046511627906976,0.7714285714285715
lr,rifampicin,pan,test,0.6614617940199335,0.6162790697674418,0.8
lr,rifampicin,pan,test,0.6614617940199335,0.6976744186046512,0.8
lr,rifampicin,pan,test,0.6614617940199335,0.6976744186046512,0.8571428571428571
lr,rifampicin,pan,test,0.6614617940199335,0.7325581395348837,0.8571428571428571
lr,rifampicin,pan,test,0.6614617940199335,0.7906976744186046,0.8857142857142857
lr,rifampicin,pan,test,0.6614617940199335,0.872093023255814,0.8857142857142857
lr,rifampicin,pan,test,0.6614617940199335,1.0,1.0
