model,drug,input_type,split,auc,fpr,tpr
rf,rifampicin,pan,val,0.7638888888888888,0.0,0.0
rf,rifampicin,pan,val,0.7638888888888888,0.0,0.027777777777777776
rf,rifampicin,pan,val,0.7638888888888888,0.0,0.1388888888888889
rf,rifampicin,pan,val,0.7638888888888888,0.023529411764705882,0.1388888888888889
rf,rifampicin,pan,val,0.7638888888888888,0.047058823529411764,0.1388888888888889
rf,rifampicin,pan,val,0.7638888888888888,0.047058823529411764,0.16666666666666666
rf,rifampicin,pan,val,0.7638888888888888,0.047058823529411764,0.2222222222222222
rf,rifampicin,pan,val,0.7638888888888888,0.058823529411764705,0.25
rf,rifampicin,pan,val,0.7638888888888888,0.07058823529411765,0.25
rf,rifampicin,pan,val,0.7638888888888888,0.07058823529411765,0.2777777777777778
rf,rifampicin,pan,val,0.7638888888888888,0.07058823529411765,0.3333333333333333
rf,rifampicin,pan,val,0.7638888888888888,0.08235294117647059,0.3888888888888889
rf,rifampicin,pan,val,0.7638888888888888,0.09411764705882353,0.3888888888888889
rf,rifampicin,pan,val,0.7638888888888888,0.09411764705882353,0.4444444444444444
rf,rifampicin,pan,val,0.7638888888888888,0.11764705882352941,0.4444444444444444
rf,rifampicin,pan,val,0.7638888888888888,0.12941176470588237,0.5
rf,rifampicin,pan,val,0.7638888888888888,0.1411764705882353,0.5277777777777778
rf,rifampicin,pan,val,0.7638888888888888,0.16470588235294117,0.5277777777777778
rf,rifampicin,pan,val,0.7638888888888888,0.16470588235294117,0.5833333333333334
rf,rifampicin,pan,val,0.7638888888888888,0.17647058823529413,0.5833333333333334
rf,rifampicin,pan,val,0.7638888888888888,0.18823529411764706,0.6111111111111112
rf,rifampicin,pan,val,0.7638888888888888,0.2,0.6111111111111112
rf,rifampicin,pan,val,0.7638888888888888,0.21176470588235294,0.6388888888888888
rf,rifampicin,pan,val,0.7638888888888888,0.23529411764705882,0.6388888888888888
rf,rifampicin,pan,val,0.7638888888888888,0.23529411764705882,0.6944444444444444
rf,rifampicin,pan,val,0.7638888888888888,0.24705882352941178,0.6944444444444444
rf,rifampicin,pan,val,0.7638888888888888,0.24705882352941178,0.7222222222222222
rf,rifampicin,pan,val,0.7638888888888888,0.2823529411764706,0.7222222222222222
rf,rifampicin,pan,val,0.7638888888888888,0.3058823529411765,0.7222222222222222
rf,rifampicin,pan,val,0.7638888888888888,0.32941176470588235,0.75
rf,rifampicin,pan,val,0.7638888888888888,0.32941176470588235,0.8055555555555556
rf,rifampicin,pan,val,0.7638888888888888,0.3411764705882353,0.8333333333333334
rf,rifampicin,pan,val,0.7638888888888888,0.35294117647058826,0.8333333333333334
rf,rifampicin,pan,val,0.7638888888888888,0.3764705882352941,0.8333333333333334
rf,rifampicin,pan,val,0.7638888888888888,0.43529411764705883,0.8333333333333334
rf,rifampicin,pan,val,0.7638888888888888,0.47058823529411764,0.8333333333333334
rf,rifampicin,pan,val,0.7638888888888888,0.4823529411764706,0.8333333333333334
rf,rifampicin,pan,val,0.7638888888888888,0.5058823529411764,0.8333333333333334
rf,rifampicin,pan,val,0.7638888888888888,0.5411764705882353,0.8333333333333334
rf,rifampicin,pan,val,0.7638888888888888,0.5882352941176471,0.8333333333333334
rf,rifampicin,pan,val,0.7638888888888888,0.6235294117647059,0.8611111111111112
rf,rifampicin,pan,val,0.7638888888888888,0.6352941176470588,0.8888888888888888
rf,rifampicin,pan,val,0.7638888888888888,0.6705882352941176,0.8888888888888888
rf,rifampicin,pan,val,0.7638888888888888,0.6941176470588235,0.9166666666666666
rf,rifampicin,pan,val,0.7638888888888888,0.7647058823529411,0.9166666666666666
rf,rifampicin,pan,val,0.7638888888888888,0.788235294117647,0.9444444444444444
rf,rifampicin,pan,val,0.7638888888888888,0.8470588235294118,0.9444444444444444
rf,rifampicin,pan,val,0.7638888888888888,0.9176470588235294,0.9444444444444444
rf,rifampicin,pan,val,0.7638888888888888,0.9529411764705882,0.9444444444444444
rf,rifampicin,pan,val,0.7638888888888888,0.9529411764705882,0.9722222222222222
rf,rifampicin,pan,val,0.7638888888888888,0.9764705882352941,0.9722222222222222
rf,rifampicin,pan,val,0.7638888888888888,0.9764705882352941,1.0
rf,rifampicin,pan,val,0.7638888888888888,1.0,1.0
rf,rifampicin,pan,test,0.7426910299003322,0.0,0.0
rf,rifampicin,pan,test,0.7426910299003322,0.011627906976744186,0.0
rf,rifampicin,pan,test,0.7426910299003322,0.011627906976744186,0.17142857142857143
rf,rifampicin,pan,test,0.7426910299003322,0.023255813953488372,0.2
rf,rifampicin,pan,test,0.7426910299003322,0.023255813953488372,0.2571428571428571
rf,rifampicin,pan,test,0.7426910299003322,0.046511627906976744,0.2571428571428571
rf,rifampicin,pan,test,0.7426910299003322,0.046511627906976744,0.37142857142857144
rf,rifampicin,pan,test,0.7426910299003322,0.06976744186046512,0.37142857142857144
rf,rifampicin,pan,test,0.7426910299003322,0.06976744186046512,0.4
rf,rifampicin,pan,test,0.7426910299003322,0.08139534883720931,0.4
rf,rifampicin,pan,test,0.7426910299003322,0.08139534883720931,0.45714285714285713
rf,rifampicin,pan,test,0.7426910299003322,0.09302325581395349,0.45714285714285713
rf,rifampicin,pan,test,0.7426910299003322,0.10465116279069768,0.4857142857142857
rf,rifampicin,pan,test,0.7426910299003322,0.12790697674418605,0.5142857142857142
rf,rifampicin,pan,test,0.7426910299003322,0.12790697674418605,0.5428571428571428
rf,rifampicin,pan,test,0.7426910299003322,0.1511627906976744,0.5428571428571428
rf,rifampicin,pan,test,0.7426910299003322,0.1744186046511628,0.5428571428571428
rf,rifampicin,pan,test,0.7426910299003322,0.18604651162790697,0.5428571428571428
rf,rifampicin,pan,test,0.7426910299003322,0.22093023255813954,0.5428571428571428
rf,rifampicin,pan,test,0.7426910299003322,0.2558139534883721,0.5428571428571428
rf,rifampicin,pan,test,0.7426910299003322,0.2558139534883721,0.6
rf,rifampicin,pan,test,0.7426910299003322,0.3023255813953488,0.6
rf,rifampicin,pan,test,0.7426910299003322,0.313953488372093,0.6
rf,rifampicin,pan,test,0.7426910299003322,0.313953488372093,0.6285714285714286
rf,rifampicin,pan,test,0.7426910299003322,0.32558139534883723,0.6571428571428571
rf,rifampicin,pan,test,0.7426910299003322,0.3488372093023256,0.6571428571428571
rf,rifampicin,pan,test,0.7426910299003322,0.36046511627906974,0.6571428571428571
rf,rifampicin,pan,test,0.7426910299003322,0.37209302325581395,0.6857142857142857
rf,rifampicin,pan,test,0.7426910299003322,0.3953488372093023,0.6857142857142857
rf,rifampicin,pan,test,0.7426910299003322,0.3953488372093023,0.7142857142857143
rf,rifampicin,pan,test,0.7426910299003322,0.43023255813953487,0.7142857142857143
rf,rifampicin,pan,test,0.7426910299003322,0.4418604651162791,0.7714285714285715
rf,rifampicin,pan,test,0.7426910299003322,0.4883720930232558,0.7714285714285715
rf,rifampicin,pan,test,0.7426910299003322,0.5,0.8
