model,drug,input_type,split,auc,fpr,tpr
lr,streptomycin,pan,val,0.71875,0.0,0.0
lr,streptomycin,pan,val,0.71875,0.0,0.08333333333333333
lr,streptomycin,pan,val,0.71875,0.08333333333333333,0.08333333333333333
lr,streptomycin,pan,val,0.71875,0.08333333333333333,0.16666666666666666
lr,streptomycin,pan,val,0.71875,0.125,0.16666666666666666
lr,streptomycin,pan,val,0.71875,0.125,0.5
lr,streptomycin,pan,val,0.71875,0.20833333333333334,0.5
lr,streptomycin,pan,val,0.71875,0.20833333333333334,0.5833333333333334
lr,streptomycin,pan,val,0.71875,0.25,0.5833333333333334
lr,streptomycin,pan,val,0.71875,0.25,0.6666666666666666
lr,streptomycin,pan,val,0.71875,0.4166666666666667,0.6666666666666666
lr,streptomycin,pan,val,0.71875,0.4166666666666667,0.75
lr,streptomycin,pan,val,0.71875,0.5,0.75
lr,streptomycin,pan,val,0.71875,0.5,0.8333333333333334
lr,streptomycin,pan,val,0.71875,0.7083333333333334,0.8333333333333334
lr,streptomycin,pan,val,0.71875,0.7083333333333334,1.0
lr,streptomycin,pan,val,0.71875,1.0,1.0
lr,streptomycin,pan,test,0.8958333333333334,0.0,0.0
lr,streptomycin,pan,test,0.8958333333333334,0.0,0.08333333333333333
lr,streptomycin,pan,test,0.8958333333333334,0.0,0.25
lr,streptomycin,pan,test,0.8958333333333334,0.041666666666666664,0.25
lr,streptomycin,pan,test,0.8958333333333334,0.041666666666666664,0.5
lr,streptomycin,pan,test,0.8958333333333334,0.08333333333333333,0.5
lr,streptomycin,pan,test,0.8958333333333334,0.08333333333333333,0.5833333333333334
lr,streptomycin,pan,test,0.8958333333333334,0.125,0.5833333333333334
lr,streptomycin,pan,test,0.8958333333333334,0.125,0.8333333333333334
lr,streptomycin,pan,test,0.8958333333333334,0.16666666666666666,0.8333333333333334
lr,streptomycin,pan,test,0.8958333333333334,0.16666666666666666,0.9166666666666666
lr,streptomycin,pan,test,0.8958333333333334,0.5,0.9166666666666666
lr,streptomycin,pan,test,0.8958333333333334,0.5,1.0
lr,streptomycin,pan,test,0.8958333333333334,1.0,1.0
