model,drug,input_type,split,auc,fpr,tpr
rf,streptomycin,pan,val,0.7708333333333333,0.0,0.0
rf,streptomycin,pan,val,0.7708333333333333,0.0,0.08333333333333333
rf,streptomycin,pan,val,0.7708333333333333,0.0,0.16666666666666666
rf,streptomycin,pan,val,0.7708333333333333,0.041666666666666664,0.16666666666666666
rf,streptomycin,pan,val,0.7708333333333333,0.041666666666666664,0.3333333333333333
rf,streptomycin,pan,val,0.7708333333333333,0.08333333333333333,0.3333333333333333
rf,streptomycin,pan,val,0.7708333333333333,0.08333333333333333,0.5
rf,streptomycin,pan,val,0.7708333333333333,0.125,0.5
rf,streptomycin,pan,val,0.7708333333333333,0.125,0.6666666666666666
rf,streptomycin,pan,val,0.7708333333333333,0.20833333333333334,0.6666666666666666
rf,streptomycin,pan,val,0.7708333333333333,0.20833333333333334,0.8333333333333334
rf,streptomycin,pan,val,0.7708333333333333,0.8333333333333334,0.8333333333333334
rf,streptomycin,pan,val,0.7708333333333333,0.8333333333333334,0.9166666666666666
rf,streptomycin,pan,val,0.7708333333333333,1.0,0.9166666666666666
rf,streptomycin,pan,val,0.7708333333333333,1.0,1.0
rf,streptomycin,pan,test,0.8506944444444445,0.0,0.0
rf,streptomycin,pan,test,0.8506944444444445,0.0,0.08333333333333333
rf,streptomycin,pan,test,0.8506944444444445,0.0,0.4166666666666667
rf,streptomycin,pan,test,0.8506944444444445,0.041666666666666664,0.4166666666666667
rf,streptomycin,pan,test,0.8506944444444445,0.041666666666666664,0.5
rf,streptomycin,pan,test,0.8506944444444445,0.125,0.5
rf,streptomycin,pan,test,0.8506944444444445,0.125,0.8333333333333334
rf,streptomycin,pan,test,0.8506944444444445,0.5416666666666666,0.8333333333333334
rf,streptomycin,pan,test,0.8506944444444445,0.5416666666666666,0.9166666666666666
rf,streptomycin,pan,test,0.8506944444444445,0.7083333333333334,0.9166666666666666
rf,streptomycin,pan,test,0.8506944444444445,0.7083333333333334,1.0
rf,streptomycin,pan,test,0.8506944444444445,1.0,1.0
