accession	isolate_name
ERR2513827	site.07.subj.FD_127_3437.lab.14_0600701.iso.1
ERR4814389	site.07.subj.02CC3CD3-E056-4070-AB58-2EB7591672D7.lab.02CC3CD3-E056-4070-AB58-2EB7591672D7.iso.1
SAMEA2534619	site.ENA.subj.SAMEA2534619.lab.1.iso.1
ERR4798220	site.04.subj.02026.lab.802995.iso.1
ERR2184331	site.05.subj.PTAN-0130.lab.TAN-391.iso.1
ERR4799720	site.04.subj.04660.lab.905738.iso.1
ERR2517629	site.00.subj.RIVM_209.lab.NL585.iso.1
ERR2513872	site.07.subj.FD_127_3526.lab.15_0607730.iso.1
ERR4811473	site.02.subj.1012.lab.2013183030.iso.1
ERR2513486	site.07.subj.FD_127_2692.lab.13_0606204.iso.1
ERR4811887	site.05.subj.LS-0721.lab.LS-10126-18.iso.1
ERR2516329	site.00.subj.BE-23.lab.08MY0559.iso.1
ERR4798275	site.04.subj.02156.lab.804487.iso.1
SAMN21616323	site.24.subj.PT-347.lab.2013-021.iso.1
ERR2184364	site.05.subj.PTAN-0163.lab.TAN-486.iso.1
