model,drug,input_type,split,auc,fpr,tpr
lr,ethambutol,snp_card,val,0.9655448717948718,0.0,0.0
lr,ethambutol,snp_card,val,0.9655448717948718,0.0,0.0625
lr,ethambutol,snp_card,val,0.9655448717948718,0.0,0.5
lr,ethambutol,snp_card,val,0.9655448717948718,0.02564102564102564,0.5
lr,ethambutol,snp_card,val,0.9655448717948718,0.02564102564102564,0.5625
lr,ethambutol,snp_card,val,0.9655448717948718,0.05128205128205128,0.5625
lr,ethambutol,snp_card,val,0.9655448717948718,0.05128205128205128,0.8125
lr,ethambutol,snp_card,val,0.9655448717948718,0.10256410256410256,0.8125
lr,ethambutol,snp_card,val,0.9655448717948718,0.10256410256410256,0.9375
lr,ethambutol,snp_card,val,0.9655448717948718,0.11538461538461539,0.9375
lr,ethambutol,snp_card,val,0.9655448717948718,0.11538461538461539,1.0
lr,ethambutol,snp_card,val,0.9655448717948718,0.3974358974358974,1.0
lr,ethambutol,snp_card,val,0.9655448717948718,0.4230769230769231,1.0
lr,ethambutol,snp_card,val,0.9655448717948718,0.44871794871794873,1.0
lr,ethambutol,snp_card,val,0.9655448717948718,0.47435897435897434,1.0
lr,ethambutol,snp_card,val,0.9655448717948718,0.5256410256410257,1.0
lr,ethambutol,snp_card,val,0.9655448717948718,0.5512820512820513,1.0
lr,ethambutol,snp_card,val,0.9655448717948718,0.5769230769230769,1.0
lr,ethambutol,snp_card,val,0.9655448717948718,0.6025641025641025,1.0
lr,ethambutol,snp_card,val,0.9655448717948718,0.6153846153846154,1.0
lr,ethambutol,snp_card,val,0.9655448717948718,0.6666666666666666,1.0
lr,ethambutol,snp_card,val,0.9655448717948718,0.6794871794871795,1.0
lr,ethambutol,snp_card,val,0.9655448717948718,0.7051282051282052,1.0
lr,ethambutol,snp_card,val,0.9655448717948718,0.7692307692307693,1.0
lr,ethambutol,snp_card,val,0.9655448717948718,0.7948717948717948,1.0
lr,ethambutol,snp_card,val,0.9655448717948718,0.8205128205128205,1.0
lr,ethambutol,snp_card,val,0.9655448717948718,0.8461538461538461,1.0
lr,ethambutol,snp_card,val,0.9655448717948718,0.8717948717948718,1.0
lr,ethambutol,snp_card,val,0.9655448717948718,0.9102564102564102,1.0
lr,ethambutol,snp_card,val,0.9655448717948718,1.0,1.0
lr,ethambutol,snp_card,test,0.9287974683544303,0.0,0.0
lr,ethambutol,snp_card,test,0.9287974683544303,0.0,0.0625
lr,ethambutol,snp_card,test,0.9287974683544303,0.0,0.125
lr,ethambutol,snp_card,test,0.9287974683544303,0.012658227848101266,0.125
lr,ethambutol,snp_card,test,0.9287974683544303,0.012658227848101266,0.1875
lr,ethambutol,snp_card,test,0.9287974683544303,0.02531645569620253,0.1875
lr,ethambutol,snp_card,test,0.9287974683544303,0.02531645569620253,0.3125
lr,ethambutol,snp_card,test,0.9287974683544303,0.0379746835443038,0.3125
lr,ethambutol,snp_card,test,0.9287974683544303,0.0379746835443038,0.375
lr,ethambutol,snp_card,test,0.9287974683544303,0.05063291139240506,0.375
lr,ethambutol,snp_card,test,0.9287974683544303,0.05063291139240506,0.4375
lr,ethambutol,snp_card,test,0.9287974683544303,0.05063291139240506,0.5625
lr,ethambutol,snp_card,test,0.9287974683544303,0.0759493670886076,0.5625
lr,ethambutol,snp_card,test,0.9287974683544303,0.0759493670886076,0.625
lr,ethambutol,snp_card,test,0.9287974683544303,0.08860759493670886,0.625
lr,ethambutol,snp_card,test,0.9287974683544303,0.08860759493670886,0.6875
lr,ethambutol,snp_card,test,0.9287974683544303,0.10126582278481013,0.6875
lr,ethambutol,snp_card,test,0.9287974683544303,0.10126582278481013,0.75
lr,ethambutol,snp_card,test,0.9287974683544303,0.11392405063291139,0.75
lr,ethambutol,snp_card,test,0.9287974683544303,0.13924050632911392,0.75
lr,ethambutol,snp_card,test,0.9287974683544303,0.13924050632911392,0.8125
lr,ethambutol,snp_card,test,0.9287974683544303,0.1518987341772152,0.8125
lr,ethambutol,snp_card,test,0.9287974683544303,0.1518987341772152,0.9375
lr,ethambutol,snp_card,test,0.9287974683544303,0.17721518987341772,0.9375
lr,ethambutol,snp_card,test,0.9287974683544303,0.17721518987341772,1.0
lr,ethambutol,snp_card,test,0.9287974683544303,0.26582278481012656,1.0
lr,ethambutol,snp_card,test,0.9287974683544303,0.2911392405063291,1.0
lr,ethambutol,snp_card,test,0.9287974683544303,0.35443037974683544,1.0
lr,ethambutol,snp_card,test,0.9287974683544303,0.4050632911392405,1.0
lr,ethambutol,snp_card,test,0.9287974683544303,0.6962025316455697,1.0
lr,ethambutol,snp_card,test,0.9287974683544303,0.7341772151898734,1.0
lr,ethambutol,snp_card,test,0.9287974683544303,1.0,1.0
