model,drug,input_type,split,auc,fpr,tpr
lr,isoniazid,snp_card,val,0.960701754385965,0.0,0.0
lr,isoniazid,snp_card,val,0.960701754385965,0.0,0.02631578947368421
lr,isoniazid,snp_card,val,0.960701754385965,0.0,0.21052631578947367
lr,isoniazid,snp_card,val,0.960701754385965,0.0,0.2631578947368421
lr,isoniazid,snp_card,val,0.960701754385965,0.0,0.7631578947368421
lr,isoniazid,snp_card,val,0.960701754385965,0.02666666666666667,0.7631578947368421
lr,isoniazid,snp_card,val,0.960701754385965,0.02666666666666667,0.8157894736842105
lr,isoniazid,snp_card,val,0.960701754385965,0.04,0.8157894736842105
lr,isoniazid,snp_card,val,0.960701754385965,0.04,0.868421052631579
lr,isoniazid,snp_card,val,0.960701754385965,0.06666666666666667,0.868421052631579
lr,isoniazid,snp_card,val,0.960701754385965,0.06666666666666667,0.9210526315789473
lr,isoniazid,snp_card,val,0.960701754385965,0.12,0.9210526315789473
lr,isoniazid,snp_card,val,0.960701754385965,0.12,0.9473684210526315
lr,isoniazid,snp_card,val,0.960701754385965,0.22666666666666666,0.9473684210526315
lr,isoniazid,snp_card,val,0.960701754385965,0.25333333333333335,0.9473684210526315
lr,isoniazid,snp_card,val,0.960701754385965,0.3333333333333333,0.9473684210526315
lr,isoniazid,snp_card,val,0.960701754385965,0.37333333333333335,0.9473684210526315
lr,isoniazid,snp_card,val,0.960701754385965,0.4533333333333333,0.9473684210526315
lr,isoniazid,snp_card,val,0.960701754385965,0.5066666666666667,0.9473684210526315
lr,isoniazid,snp_card,val,0.960701754385965,0.5333333333333333,0.9473684210526315
lr,isoniazid,snp_card,val,0.960701754385965,0.5466666666666666,0.9736842105263158
lr,isoniazid,snp_card,val,0.960701754385965,0.5866666666666667,1.0
lr,isoniazid,snp_card,val,0.960701754385965,0.64,1.0
lr,isoniazid,snp_card,val,0.960701754385965,0.6666666666666666,1.0
lr,isoniazid,snp_card,val,0.960701754385965,0.7066666666666667,1.0
lr,isoniazid,snp_card,val,0.960701754385965,0.76,1.0
lr,isoniazid,snp_card,val,0.960701754385965,1.0,1.0
lr,isoniazid,snp_card,test,0.9368421052631578,0.0,0.0
lr,isoniazid,snp_card,test,0.9368421052631578,0.0,0.02631578947368421
lr,isoniazid,snp_card,test,0.9368421052631578,0.0,0.10526315789473684
lr,isoniazid,snp_card,test,0.9368421052631578,0.0,0.21052631578947367
lr,isoniazid,snp_card,test,0.9368421052631578,0.0,0.7368421052631579
lr,isoniazid,snp_card,test,0.9368421052631578,0.013333333333333334,0.7368421052631579
lr,isoniazid,snp_card,test,0.9368421052631578,0.013333333333333334,0.7631578947368421
lr,isoniazid,snp_card,test,0.9368421052631578,0.02666666666666667,0.7631578947368421
lr,isoniazid,snp_card,test,0.9368421052631578,0.02666666666666667,0.7894736842105263
lr,isoniazid,snp_card,test,0.9368421052631578,0.12,0.7894736842105263
lr,isoniazid,snp_card,test,0.9368421052631578,0.12,0.8157894736842105
lr,isoniazid,snp_card,test,0.9368421052631578,0.13333333333333333,0.8157894736842105
lr,isoniazid,snp_card,test,0.9368421052631578,0.16,0.8157894736842105
lr,isoniazid,snp_card,test,0.9368421052631578,0.17333333333333334,0.8157894736842105
lr,isoniazid,snp_card,test,0.9368421052631578,0.17333333333333334,0.8421052631578947
lr,isoniazid,snp_card,test,0.9368421052631578,0.2,0.8421052631578947
lr,isoniazid,snp_card,test,0.9368421052631578,0.2,0.868421052631579
lr,isoniazid,snp_card,test,0.9368421052631578,0.22666666666666666,0.868421052631579
lr,isoniazid,snp_card,test,0.9368421052631578,0.22666666666666666,0.8947368421052632
lr,isoniazid,snp_card,test,0.9368421052631578,0.26666666666666666,0.8947368421052632
lr,isoniazid,snp_card,test,0.9368421052631578,0.26666666666666666,0.9473684210526315
lr,isoniazid,snp_card,test,0.9368421052631578,0.3333333333333333,0.9473684210526315
lr,isoniazid,snp_card,test,0.9368421052631578,0.38666666666666666,0.9473684210526315
lr,isoniazid,snp_card,test,0.9368421052631578,0.41333333333333333,0.9473684210526315
lr,isoniazid,snp_card,test,0.9368421052631578,0.44,0.9473684210526315
lr,isoniazid,snp_card,test,0.9368421052631578,0.4666666666666667,0.9473684210526315
lr,isoniazid,snp_card,test,0.9368421052631578,0.4666666666666667,0.9736842105263158
lr,isoniazid,snp_card,test,0.9368421052631578,0.49333333333333335,0.9736842105263158
lr,isoniazid,snp_card,test,0.9368421052631578,0.52,0.9736842105263158
lr,isoniazid,snp_card,test,0.9368421052631578,0.5733333333333334,0.9736842105263158
lr,isoniazid,snp_card,test,0.9368421052631578,0.64,0.9736842105263158
lr,isoniazid,snp_card,test,0.9368421052631578,0.64,1.0
lr,isoniazid,snp_card,test,0.9368421052631578,0.68,1.0
lr,isoniazid,snp_card,test,0.9368421052631578,0.7333333333333333,1.0
lr,isoniazid,snp_card,test,0.9368421052631578,0.7866666666666666,1.0
lr,isoniazid,snp_card,test,0.9368421052631578,0.8133333333333334,1.0
lr,isoniazid,snp_card,test,0.9368421052631578,0.84,1.0
lr,isoniazid,snp_card,test,0.9368421052631578,0.88,1.0
lr,isoniazid,snp_card,test,0.9368421052631578,1.0,1.0
