model,drug,input_type,split,auc,fpr,tpr
lr,rifampicin,snp_card,val,0.9375000000000001,0.0,0.0
lr,rifampicin,snp_card,val,0.9375000000000001,0.0,0.03125
lr,rifampicin,snp_card,val,0.9375000000000001,0.0,0.65625
lr,rifampicin,snp_card,val,0.9375000000000001,0.01282051282051282,0.65625
lr,rifampicin,snp_card,val,0.9375000000000001,0.01282051282051282,0.6875
lr,rifampicin,snp_card,val,0.9375000000000001,0.038461538461538464,0.6875
lr,rifampicin,snp_card,val,0.9375000000000001,0.05128205128205128,0.71875
lr,rifampicin,snp_card,val,0.9375000000000001,0.05128205128205128,0.78125
lr,rifampicin,snp_card,val,0.9375000000000001,0.0641025641025641,0.78125
lr,rifampicin,snp_card,val,0.9375000000000001,0.0641025641025641,0.875
lr,rifampicin,snp_card,val,0.9375000000000001,0.07692307692307693,0.875
lr,rifampicin,snp_card,val,0.9375000000000001,0.07692307692307693,0.9375
lr,rifampicin,snp_card,val,0.9375000000000001,0.21794871794871795,0.9375
lr,rifampicin,snp_card,val,0.9375000000000001,0.2692307692307692,0.9375
lr,rifampicin,snp_card,val,0.9375000000000001,0.3076923076923077,0.9375
lr,rifampicin,snp_card,val,0.9375000000000001,0.3717948717948718,0.9375
lr,rifampicin,snp_card,val,0.9375000000000001,0.38461538461538464,0.9375
lr,rifampicin,snp_card,val,0.9375000000000001,0.41025641025641024,0.9375
lr,rifampicin,snp_card,val,0.9375000000000001,0.4358974358974359,0.9375
lr,rifampicin,snp_card,val,0.9375000000000001,0.46153846153846156,0.9375
lr,rifampicin,snp_card,val,0.9375000000000001,0.48717948717948717,0.9375
lr,rifampicin,snp_card,val,0.9375000000000001,0.5769230769230769,0.9375
lr,rifampicin,snp_card,val,0.9375000000000001,0.6794871794871795,0.9375
lr,rifampicin,snp_card,val,0.9375000000000001,0.7051282051282052,0.9375
lr,rifampicin,snp_card,val,0.9375000000000001,0.7435897435897436,0.96875
lr,rifampicin,snp_card,val,0.9375000000000001,0.7564102564102564,0.96875
lr,rifampicin,snp_card,val,0.9375000000000001,0.782051282051282,1.0
lr,rifampicin,snp_card,val,0.9375000000000001,0.8461538461538461,1.0
lr,rifampicin,snp_card,val,0.9375000000000001,1.0,1.0
lr,rifampicin,snp_card,test,0.9877501020824827,0.0,0.0
lr,rifampicin,snp_card,test,0.9877501020824827,0.0,0.03225806451612903
lr,rifampicin,snp_card,test,0.9877501020824827,0.0,0.41935483870967744
lr,rifampicin,snp_card,test,0.9877501020824827,0.0,0.4838709677419355
lr,rifampicin,snp_card,test,0.9877501020824827,0.0,0.7096774193548387
lr,rifampicin,snp_card,test,0.9877501020824827,0.012658227848101266,0.7096774193548387
lr,rifampicin,snp_card,test,0.9877501020824827,0.012658227848101266,0.7741935483870968
lr,rifampicin,snp_card,test,0.9877501020824827,0.02531645569620253,0.7741935483870968
lr,rifampicin,snp_card,test,0.9877501020824827,0.02531645569620253,0.8064516129032258
lr,rifampicin,snp_card,test,0.9877501020824827,0.02531645569620253,0.9032258064516129
lr,rifampicin,snp_card,test,0.9877501020824827,0.05063291139240506,0.9032258064516129
lr,rifampicin,snp_card,test,0.9877501020824827,0.05063291139240506,0.9354838709677419
lr,rifampicin,snp_card,test,0.9877501020824827,0.08860759493670886,0.9354838709677419
lr,rifampicin,snp_card,test,0.9877501020824827,0.08860759493670886,0.967741935483871
lr,rifampicin,snp_card,test,0.9877501020824827,0.11392405063291139,0.967741935483871
lr,rifampicin,snp_card,test,0.9877501020824827,0.11392405063291139,1.0
lr,rifampicin,snp_card,test,0.9877501020824827,0.1518987341772152,1.0
lr,rifampicin,snp_card,test,0.9877501020824827,0.189873417721519,1.0
lr,rifampicin,snp_card,test,0.9877501020824827,0.26582278481012656,1.0
lr,rifampicin,snp_card,test,0.9877501020824827,0.3037974683544304,1.0
lr,rifampicin,snp_card,test,0.9877501020824827,0.31645569620253167,1.0
lr,rifampicin,snp_card,test,0.9877501020824827,0.34177215189873417,1.0
lr,rifampicin,snp_card,test,0.9877501020824827,0.43037974683544306,1.0
lr,rifampicin,snp_card,test,0.9877501020824827,0.45569620253164556,1.0
lr,rifampicin,snp_card,test,0.9877501020824827,0.4936708860759494,1.0
lr,rifampicin,snp_card,test,0.9877501020824827,0.569620253164557,1.0
lr,rifampicin,snp_card,test,0.9877501020824827,0.5949367088607594,1.0
lr,rifampicin,snp_card,test,0.9877501020824827,0.6455696202531646,1.0
lr,rifampicin,snp_card,test,0.9877501020824827,0.6708860759493671,1.0
lr,rifampicin,snp_card,test,0.9877501020824827,0.6962025316455697,1.0
lr,rifampicin,snp_card,test,0.9877501020824827,0.7468354430379747,1.0
lr,rifampicin,snp_card,test,0.9877501020824827,0.7721518987341772,1.0
lr,rifampicin,snp_card,test,0.9877501020824827,0.8227848101265823,1.0
lr,rifampicin,snp_card,test,0.9877501020824827,0.8607594936708861,1.0
lr,rifampicin,snp_card,test,0.9877501020824827,1.0,1.0
