model,drug,input_type,split,auc,fpr,tpr
rf,rifampicin,snp_card,val,0.8906250000000001,0.0,0.0
rf,rifampicin,snp_card,val,0.8906250000000001,0.0,0.03125
rf,rifampicin,snp_card,val,0.8906250000000001,0.0,0.46875
rf,rifampicin,snp_card,val,0.8906250000000001,0.01282051282051282,0.46875
rf,rifampicin,snp_card,val,0.8906250000000001,0.01282051282051282,0.5625
rf,rifampicin,snp_card,val,0.8906250000000001,0.02564102564102564,0.5625
rf,rifampicin,snp_card,val,0.8906250000000001,0.02564102564102564,0.71875
rf,rifampicin,snp_card,val,0.8906250000000001,0.0641025641025641,0.71875
rf,rifampicin,snp_card,val,0.8906250000000001,0.0641025641025641,0.75
rf,rifampicin,snp_card,val,0.8906250000000001,0.07692307692307693,0.75
rf,rifampicin,snp_card,val,0.8906250000000001,0.07692307692307693,0.78125
rf,rifampicin,snp_card,val,0.8906250000000001,0.10256410256410256,0.78125
rf,rifampicin,snp_card,val,0.8906250000000001,0.1282051282051282,0.78125
rf,rifampicin,snp_card,val,0.8906250000000001,0.1282051282051282,0.8125
rf,rifampicin,snp_card,val,0.8906250000000001,0.16666666666666666,0.8125
rf,rifampicin,snp_card,val,0.8906250000000001,0.16666666666666666,0.84375
rf,rifampicin,snp_card,val,0.8906250000000001,0.19230769230769232,0.84375
rf,rifampicin,snp_card,val,0.8906250000000001,0.19230769230769232,0.875
rf,rifampicin,snp_card,val,0.8906250000000001,0.3974358974358974,0.875
rf,rifampicin,snp_card,val,0.8906250000000001,0.4358974358974359,0.875
rf,rifampicin,snp_card,val,0.8906250000000001,0.5384615384615384,0.875
rf,rifampicin,snp_card,val,0.8906250000000001,0.5641025641025641,0.875
rf,rifampicin,snp_card,val,0.8906250000000001,0.5769230769230769,0.875
rf,rifampicin,snp_card,val,0.8906250000000001,0.5769230769230769,0.90625
rf,rifampicin,snp_card,val,0.8906250000000001,0.6410256410256411,0.90625
rf,rifampicin,snp_card,val,0.8906250000000001,0.6410256410256411,0.9375
rf,rifampicin,snp_card,val,0.8906250000000001,0.7435897435897436,0.9375
rf,rifampicin,snp_card,val,0.8906250000000001,0.7435897435897436,1.0
rf,rifampicin,snp_card,val,0.8906250000000001,0.7948717948717948,1.0
rf,rifampicin,snp_card,val,0.8906250000000001,0.8205128205128205,1.0
rf,rifampicin,snp_card,val,0.8906250000000001,1.0,1.0
rf,rifampicin,snp_card,test,0.9281339322172315,0.0,0.0
rf,rifampicin,snp_card,test,0.9281339322172315,0.0,0.03225806451612903
rf,rifampicin,snp_card,test,0.9281339322172315,0.0,0.4838709677419355
rf,rifampicin,snp_card,test,0.9281339322172315,0.012658227848101266,0.4838709677419355
rf,rifampicin,snp_card,test,0.9281339322172315,0.012658227848101266,0.6774193548387096
rf,rifampicin,snp_card,test,0.9281339322172315,0.0379746835443038,0.6774193548387096
rf,rifampicin,snp_card,test,0.9281339322172315,0.0379746835443038,0.7096774193548387
rf,rifampicin,snp_card,test,0.9281339322172315,0.05063291139240506,0.7096774193548387
rf,rifampicin,snp_card,test,0.9281339322172315,0.05063291139240506,0.7419354838709677
rf,rifampicin,snp_card,test,0.9281339322172315,0.06329113924050633,0.7419354838709677
rf,rifampicin,snp_card,test,0.9281339322172315,0.06329113924050633,0.7741935483870968
rf,rifampicin,snp_card,test,0.9281339322172315,0.10126582278481013,0.7741935483870968
rf,rifampicin,snp_card,test,0.9281339322172315,0.10126582278481013,0.8064516129032258
rf,rifampicin,snp_card,test,0.9281339322172315,0.13924050632911392,0.8064516129032258
rf,rifampicin,snp_card,test,0.9281339322172315,0.13924050632911392,0.8387096774193549
rf,rifampicin,snp_card,test,0.9281339322172315,0.17721518987341772,0.8387096774193549
rf,rifampicin,snp_card,test,0.9281339322172315,0.17721518987341772,0.8709677419354839
rf,rifampicin,snp_card,test,0.9281339322172315,0.20253164556962025,0.8709677419354839
rf,rifampicin,snp_card,test,0.9281339322172315,0.20253164556962025,0.9032258064516129
rf,rifampicin,snp_card,test,0.9281339322172315,0.3924050632911392,0.9032258064516129
rf,rifampicin,snp_card,test,0.9281339322172315,0.3924050632911392,0.9354838709677419
rf,rifampicin,snp_card,test,0.9281339322172315,0.4050632911392405,0.9354838709677419
rf,rifampicin,snp_card,test,0.9281339322172315,0.45569620253164556,0.9354838709677419
rf,rifampicin,snp_card,test,0.9281339322172315,0.4936708860759494,0.9354838709677419
rf,rifampicin,snp_card,test,0.9281339322172315,0.4936708860759494,1.0
rf,rifampicin,snp_card,test,0.9281339322172315,0.6582278481012658,1.0
rf,rifampicin,snp_card,test,0.9281339322172315,0.6835443037974683,1.0
rf,rifampicin,snp_card,test,0.9281339322172315,1.0,1.0
