model,drug,input_type,split,auc,fpr,tpr
lr,streptomycin,snp_card,val,0.8621323529411765,0.0,0.0
lr,streptomycin,snp_card,val,0.8621323529411765,0.0,0.0625
lr,streptomycin,snp_card,val,0.8621323529411765,0.0,0.3125
lr,streptomycin,snp_card,val,0.8621323529411765,0.029411764705882353,0.3125
lr,streptomycin,snp_card,val,0.8621323529411765,0.029411764705882353,0.375
lr,streptomycin,snp_card,val,0.8621323529411765,0.08823529411764706,0.375
lr,streptomycin,snp_card,val,0.8621323529411765,0.08823529411764706,0.625
lr,streptomycin,snp_card,val,0.8621323529411765,0.14705882352941177,0.625
lr,streptomycin,snp_card,val,0.8621323529411765,0.14705882352941177,0.75
lr,streptomycin,snp_card,val,0.8621323529411765,0.17647058823529413,0.75
lr,streptomycin,snp_card,val,0.8621323529411765,0.17647058823529413,0.8125
lr,streptomycin,snp_card,val,0.8621323529411765,0.20588235294117646,0.8125
lr,streptomycin,snp_card,val,0.8621323529411765,0.20588235294117646,0.875
lr,streptomycin,snp_card,val,0.8621323529411765,0.2647058823529412,0.875
lr,streptomycin,snp_card,val,0.8621323529411765,0.3235294117647059,0.875
lr,streptomycin,snp_card,val,0.8621323529411765,0.3235294117647059,0.9375
lr,streptomycin,snp_card,val,0.8621323529411765,0.35294117647058826,0.9375
lr,streptomycin,snp_card,val,0.8621323529411765,0.4411764705882353,0.9375
lr,streptomycin,snp_card,val,0.8621323529411765,0.5882352941176471,0.9375
lr,streptomycin,snp_card,val,0.8621323529411765,0.6764705882352942,0.9375
lr,streptomycin,snp_card,val,0.8621323529411765,0.8235294117647058,0.9375
lr,streptomycin,snp_card,val,0.8621323529411765,0.8235294117647058,1.0
lr,streptomycin,snp_card,val,0.8621323529411765,1.0,1.0
lr,streptomycin,snp_card,test,0.9866666666666666,0.0,0.0
lr,streptomycin,snp_card,test,0.9866666666666666,0.0,0.06666666666666667
lr,streptomycin,snp_card,test,0.9866666666666666,0.0,0.5333333333333333
lr,streptomycin,snp_card,test,0.9866666666666666,0.02857142857142857,0.5333333333333333
lr,streptomycin,snp_card,test,0.9866666666666666,0.02857142857142857,1.0
lr,streptomycin,snp_card,test,0.9866666666666666,0.2857142857142857,1.0
lr,streptomycin,snp_card,test,0.9866666666666666,0.34285714285714286,1.0
lr,streptomycin,snp_card,test,0.9866666666666666,0.4,1.0
lr,streptomycin,snp_card,test,0.9866666666666666,0.45714285714285713,1.0
lr,streptomycin,snp_card,test,0.9866666666666666,0.5714285714285714,1.0
lr,streptomycin,snp_card,test,0.9866666666666666,0.6571428571428571,1.0
lr,streptomycin,snp_card,test,0.9866666666666666,0.7142857142857143,1.0
lr,streptomycin,snp_card,test,0.9866666666666666,0.7714285714285715,1.0
lr,streptomycin,snp_card,test,0.9866666666666666,0.8571428571428571,1.0
lr,streptomycin,snp_card,test,0.9866666666666666,1.0,1.0
