model,drug,input_type,split,auc,fpr,tpr
rf,isoniazid,snp,val,0.8883532292623202,0.0,0.0
rf,isoniazid,snp,val,0.8883532292623202,0.0,0.008264462809917356
rf,isoniazid,snp,val,0.8883532292623202,0.0,0.34710743801652894
rf,isoniazid,snp,val,0.8883532292623202,0.003703703703703704,0.34710743801652894
rf,isoniazid,snp,val,0.8883532292623202,0.003703703703703704,0.4132231404958678
rf,isoniazid,snp,val,0.8883532292623202,0.007407407407407408,0.4132231404958678
rf,isoniazid,snp,val,0.8883532292623202,0.007407407407407408,0.4297520661157025
rf,isoniazid,snp,val,0.8883532292623202,0.011111111111111112,0.4297520661157025
rf,isoniazid,snp,val,0.8883532292623202,0.011111111111111112,0.4380165289256198
rf,isoniazid,snp,val,0.8883532292623202,0.014814814814814815,0.4380165289256198
rf,isoniazid,snp,val,0.8883532292623202,0.014814814814814815,0.47107438016528924
rf,isoniazid,snp,val,0.8883532292623202,0.025925925925925925,0.47107438016528924
rf,isoniazid,snp,val,0.8883532292623202,0.025925925925925925,0.5702479338842975
rf,isoniazid,snp,val,0.8883532292623202,0.02962962962962963,0.5702479338842975
rf,isoniazid,snp,val,0.8883532292623202,0.02962962962962963,0.6198347107438017
rf,isoniazid,snp,val,0.8883532292623202,0.037037037037037035,0.6198347107438017
rf,isoniazid,snp,val,0.8883532292623202,0.037037037037037035,0.6528925619834711
rf,isoniazid,snp,val,0.8883532292623202,0.040740740740740744,0.6528925619834711
rf,isoniazid,snp,val,0.8883532292623202,0.040740740740740744,0.6776859504132231
rf,isoniazid,snp,val,0.8883532292623202,0.05185185185185185,0.6776859504132231
rf,isoniazid,snp,val,0.8883532292623202,0.05185185185185185,0.6859504132231405
rf,isoniazid,snp,val,0.8883532292623202,0.05555555555555555,0.6859504132231405
rf,isoniazid,snp,val,0.8883532292623202,0.05555555555555555,0.6942148760330579
rf,isoniazid,snp,val,0.8883532292623202,0.06296296296296296,0.6942148760330579
rf,isoniazid,snp,val,0.8883532292623202,0.06296296296296296,0.71900826446281
rf,isoniazid,snp,val,0.8883532292623202,0.07037037037037037,0.71900826446281
rf,isoniazid,snp,val,0.8883532292623202,0.11851851851851852,0.71900826446281
rf,isoniazid,snp,val,0.8883532292623202,0.11851851851851852,0.7355371900826446
