model,drug,input_type,split,auc,fpr,tpr
lr,ethambutol,snp_pan_card,val,0.9458333333333334,0.0,0.0
lr,ethambutol,snp_pan_card,val,0.9458333333333334,0.0,0.16666666666666666
lr,ethambutol,snp_pan_card,val,0.9458333333333334,0.0,0.8333333333333334
lr,ethambutol,snp_pan_card,val,0.9458333333333334,0.05,0.8333333333333334
lr,ethambutol,snp_pan_card,val,0.9458333333333334,0.15,0.8333333333333334
lr,ethambutol,snp_pan_card,val,0.9458333333333334,0.2,0.8333333333333334
lr,ethambutol,snp_pan_card,val,0.9458333333333334,0.45,1.0
lr,ethambutol,snp_pan_card,val,0.9458333333333334,0.75,1.0
lr,ethambutol,snp_pan_card,val,0.9458333333333334,1.0,1.0
lr,ethambutol,snp_pan_card,test,0.7238095238095239,0.0,0.0
lr,ethambutol,snp_pan_card,test,0.7238095238095239,0.047619047619047616,0.0
lr,ethambutol,snp_pan_card,test,0.7238095238095239,0.09523809523809523,0.0
lr,ethambutol,snp_pan_card,test,0.7238095238095239,0.09523809523809523,0.4
lr,ethambutol,snp_pan_card,test,0.7238095238095239,0.14285714285714285,0.4
lr,ethambutol,snp_pan_card,test,0.7238095238095239,0.19047619047619047,0.6
lr,ethambutol,snp_pan_card,test,0.7238095238095239,0.19047619047619047,0.8
lr,ethambutol,snp_pan_card,test,0.7238095238095239,0.3333333333333333,0.8
lr,ethambutol,snp_pan_card,test,0.7238095238095239,0.42857142857142855,0.8
lr,ethambutol,snp_pan_card,test,0.7238095238095239,0.6190476190476191,0.8
lr,ethambutol,snp_pan_card,test,0.7238095238095239,0.6666666666666666,0.8
lr,ethambutol,snp_pan_card,test,0.7238095238095239,1.0,1.0
