model,drug,input_type,split,auc,fpr,tpr
lr,isoniazid,snp_pan_card,val,0.9642857142857143,0.0,0.0
lr,isoniazid,snp_pan_card,val,0.9642857142857143,0.0,0.08333333333333333
lr,isoniazid,snp_pan_card,val,0.9642857142857143,0.0,0.3333333333333333
lr,isoniazid,snp_pan_card,val,0.9642857142857143,0.0,0.5
lr,isoniazid,snp_pan_card,val,0.9642857142857143,0.0,0.5833333333333334
lr,isoniazid,snp_pan_card,val,0.9642857142857143,0.0,0.75
lr,isoniazid,snp_pan_card,val,0.9642857142857143,0.0,0.8333333333333334
lr,isoniazid,snp_pan_card,val,0.9642857142857143,0.047619047619047616,0.9166666666666666
lr,isoniazid,snp_pan_card,val,0.9642857142857143,0.09523809523809523,0.9166666666666666
lr,isoniazid,snp_pan_card,val,0.9642857142857143,0.23809523809523808,0.9166666666666666
lr,isoniazid,snp_pan_card,val,0.9642857142857143,0.5714285714285714,1.0
lr,isoniazid,snp_pan_card,val,0.9642857142857143,0.7142857142857143,1.0
lr,isoniazid,snp_pan_card,val,0.9642857142857143,1.0,1.0
lr,isoniazid,snp_pan_card,test,0.9265873015873016,0.0,0.0
lr,isoniazid,snp_pan_card,test,0.9265873015873016,0.0,0.16666666666666666
lr,isoniazid,snp_pan_card,test,0.9265873015873016,0.0,0.4166666666666667
lr,isoniazid,snp_pan_card,test,0.9265873015873016,0.0,0.5833333333333334
lr,isoniazid,snp_pan_card,test,0.9265873015873016,0.0,0.75
lr,isoniazid,snp_pan_card,test,0.9265873015873016,0.047619047619047616,0.75
lr,isoniazid,snp_pan_card,test,0.9265873015873016,0.14285714285714285,0.75
lr,isoniazid,snp_pan_card,test,0.9265873015873016,0.23809523809523808,0.75
lr,isoniazid,snp_pan_card,test,0.9265873015873016,0.2857142857142857,0.8333333333333334
lr,isoniazid,snp_pan_card,test,0.9265873015873016,0.2857142857142857,0.9166666666666666
lr,isoniazid,snp_pan_card,test,0.9265873015873016,0.38095238095238093,1.0
lr,isoniazid,snp_pan_card,test,0.9265873015873016,0.42857142857142855,1.0
lr,isoniazid,snp_pan_card,test,0.9265873015873016,0.5714285714285714,1.0
lr,isoniazid,snp_pan_card,test,0.9265873015873016,0.7142857142857143,1.0
lr,isoniazid,snp_pan_card,test,0.9265873015873016,0.8095238095238095,1.0
lr,isoniazid,snp_pan_card,test,0.9265873015873016,1.0,1.0
