model,drug,input_type,split,auc,fpr,tpr
lr,rifampicin,snp_pan_card,val,0.9956709956709956,0.0,0.0
lr,rifampicin,snp_pan_card,val,0.9956709956709956,0.0,0.09090909090909091
lr,rifampicin,snp_pan_card,val,0.9956709956709956,0.0,0.18181818181818182
lr,rifampicin,snp_pan_card,val,0.9956709956709956,0.0,0.36363636363636365
lr,rifampicin,snp_pan_card,val,0.9956709956709956,0.0,0.9090909090909091
lr,rifampicin,snp_pan_card,val,0.9956709956709956,0.047619047619047616,0.9090909090909091
lr,rifampicin,snp_pan_card,val,0.9956709956709956,0.047619047619047616,1.0
lr,rifampicin,snp_pan_card,val,0.9956709956709956,0.47619047619047616,1.0
lr,rifampicin,snp_pan_card,val,0.9956709956709956,0.5714285714285714,1.0
lr,rifampicin,snp_pan_card,val,0.9956709956709956,0.8571428571428571,1.0
lr,rifampicin,snp_pan_card,val,0.9956709956709956,1.0,1.0
lr,rifampicin,snp_pan_card,test,0.859504132231405,0.0,0.0
lr,rifampicin,snp_pan_card,test,0.859504132231405,0.0,0.09090909090909091
lr,rifampicin,snp_pan_card,test,0.859504132231405,0.0,0.6363636363636364
lr,rifampicin,snp_pan_card,test,0.859504132231405,0.09090909090909091,0.6363636363636364
lr,rifampicin,snp_pan_card,test,0.859504132231405,0.09090909090909091,0.7272727272727273
lr,rifampicin,snp_pan_card,test,0.859504132231405,0.18181818181818182,0.7272727272727273
lr,rifampicin,snp_pan_card,test,0.859504132231405,0.18181818181818182,0.8181818181818182
lr,rifampicin,snp_pan_card,test,0.859504132231405,0.22727272727272727,0.8181818181818182
lr,rifampicin,snp_pan_card,test,0.859504132231405,0.3181818181818182,0.8181818181818182
lr,rifampicin,snp_pan_card,test,0.859504132231405,0.45454545454545453,0.8181818181818182
lr,rifampicin,snp_pan_card,test,0.859504132231405,0.45454545454545453,0.9090909090909091
lr,rifampicin,snp_pan_card,test,0.859504132231405,0.8181818181818182,0.9090909090909091
lr,rifampicin,snp_pan_card,test,0.859504132231405,0.8181818181818182,1.0
lr,rifampicin,snp_pan_card,test,0.859504132231405,1.0,1.0
