model,drug,input_type,split,auc,fpr,tpr
rf,rifampicin,snp_pan_card,val,0.8701298701298701,0.0,0.0
rf,rifampicin,snp_pan_card,val,0.8701298701298701,0.0,0.09090909090909091
rf,rifampicin,snp_pan_card,val,0.8701298701298701,0.047619047619047616,0.09090909090909091
rf,rifampicin,snp_pan_card,val,0.8701298701298701,0.047619047619047616,0.18181818181818182
rf,rifampicin,snp_pan_card,val,0.8701298701298701,0.09523809523809523,0.18181818181818182
rf,rifampicin,snp_pan_card,val,0.8701298701298701,0.09523809523809523,0.6363636363636364
rf,rifampicin,snp_pan_card,val,0.8701298701298701,0.19047619047619047,0.6363636363636364
rf,rifampicin,snp_pan_card,val,0.8701298701298701,0.19047619047619047,0.8181818181818182
rf,rifampicin,snp_pan_card,val,0.8701298701298701,0.23809523809523808,0.8181818181818182
rf,rifampicin,snp_pan_card,val,0.8701298701298701,0.23809523809523808,0.9090909090909091
rf,rifampicin,snp_pan_card,val,0.8701298701298701,0.2857142857142857,0.9090909090909091
rf,rifampicin,snp_pan_card,val,0.8701298701298701,0.2857142857142857,1.0
rf,rifampicin,snp_pan_card,val,0.8701298701298701,1.0,1.0
rf,rifampicin,snp_pan_card,test,0.7727272727272727,0.0,0.0
rf,rifampicin,snp_pan_card,test,0.7727272727272727,0.0,0.09090909090909091
rf,rifampicin,snp_pan_card,test,0.7727272727272727,0.0,0.2727272727272727
rf,rifampicin,snp_pan_card,test,0.7727272727272727,0.045454545454545456,0.2727272727272727
rf,rifampicin,snp_pan_card,test,0.7727272727272727,0.045454545454545456,0.36363636363636365
rf,rifampicin,snp_pan_card,test,0.7727272727272727,0.09090909090909091,0.36363636363636365
rf,rifampicin,snp_pan_card,test,0.7727272727272727,0.09090909090909091,0.5454545454545454
rf,rifampicin,snp_pan_card,test,0.7727272727272727,0.13636363636363635,0.5454545454545454
rf,rifampicin,snp_pan_card,test,0.7727272727272727,0.13636363636363635,0.7272727272727273
rf,rifampicin,snp_pan_card,test,0.7727272727272727,0.22727272727272727,0.7272727272727273
rf,rifampicin,snp_pan_card,test,0.7727272727272727,0.22727272727272727,0.8181818181818182
rf,rifampicin,snp_pan_card,test,0.7727272727272727,0.8636363636363636,0.8181818181818182
rf,rifampicin,snp_pan_card,test,0.7727272727272727,0.8636363636363636,0.9090909090909091
rf,rifampicin,snp_pan_card,test,0.7727272727272727,0.9090909090909091,0.9090909090909091
rf,rifampicin,snp_pan_card,test,0.7727272727272727,0.9090909090909091,1.0
rf,rifampicin,snp_pan_card,test,0.7727272727272727,1.0,1.0
