model,drug,input_type,split,auc,fpr,tpr
lr,ethambutol,snp_pan,val,0.8842364532019704,0.0,0.0
lr,ethambutol,snp_pan,val,0.8842364532019704,0.011494252873563218,0.0
lr,ethambutol,snp_pan,val,0.8842364532019704,0.034482758620689655,0.0
lr,ethambutol,snp_pan,val,0.8842364532019704,0.034482758620689655,0.21428571428571427
lr,ethambutol,snp_pan,val,0.8842364532019704,0.06896551724137931,0.21428571428571427
lr,ethambutol,snp_pan,val,0.8842364532019704,0.06896551724137931,0.35714285714285715
lr,ethambutol,snp_pan,val,0.8842364532019704,0.09195402298850575,0.35714285714285715
lr,ethambutol,snp_pan,val,0.8842364532019704,0.09195402298850575,0.42857142857142855
lr,ethambutol,snp_pan,val,0.8842364532019704,0.10344827586206896,0.42857142857142855
lr,ethambutol,snp_pan,val,0.8842364532019704,0.10344827586206896,0.7142857142857143
lr,ethambutol,snp_pan,val,0.8842364532019704,0.12643678160919541,0.7142857142857143
lr,ethambutol,snp_pan,val,0.8842364532019704,0.12643678160919541,0.7857142857142857
lr,ethambutol,snp_pan,val,0.8842364532019704,0.14942528735632185,0.7857142857142857
lr,ethambutol,snp_pan,val,0.8842364532019704,0.14942528735632185,0.8571428571428571
lr,ethambutol,snp_pan,val,0.8842364532019704,0.2988505747126437,0.8571428571428571
lr,ethambutol,snp_pan,val,0.8842364532019704,0.2988505747126437,1.0
lr,ethambutol,snp_pan,val,0.8842364532019704,1.0,1.0
lr,ethambutol,snp_pan,test,0.9618506493506493,0.0,0.0
lr,ethambutol,snp_pan,test,0.9618506493506493,0.0,0.07142857142857142
lr,ethambutol,snp_pan,test,0.9618506493506493,0.011363636363636364,0.07142857142857142
lr,ethambutol,snp_pan,test,0.9618506493506493,0.011363636363636364,0.5
lr,ethambutol,snp_pan,test,0.9618506493506493,0.045454545454545456,0.5
lr,ethambutol,snp_pan,test,0.9618506493506493,0.045454545454545456,0.5714285714285714
lr,ethambutol,snp_pan,test,0.9618506493506493,0.056818181818181816,0.5714285714285714
lr,ethambutol,snp_pan,test,0.9618506493506493,0.056818181818181816,0.7142857142857143
lr,ethambutol,snp_pan,test,0.9618506493506493,0.06818181818181818,0.7142857142857143
lr,ethambutol,snp_pan,test,0.9618506493506493,0.06818181818181818,0.8571428571428571
lr,ethambutol,snp_pan,test,0.9618506493506493,0.07954545454545454,0.8571428571428571
lr,ethambutol,snp_pan,test,0.9618506493506493,0.07954545454545454,0.9285714285714286
lr,ethambutol,snp_pan,test,0.9618506493506493,0.09090909090909091,0.9285714285714286
lr,ethambutol,snp_pan,test,0.9618506493506493,0.09090909090909091,1.0
lr,ethambutol,snp_pan,test,0.9618506493506493,1.0,1.0
