model,drug,input_type,split,auc,fpr,tpr
rf,ethambutol,snp_pan,val,0.7569786535303776,0.0,0.0
rf,ethambutol,snp_pan,val,0.7569786535303776,0.011494252873563218,0.0
rf,ethambutol,snp_pan,val,0.7569786535303776,0.022988505747126436,0.0
rf,ethambutol,snp_pan,val,0.7569786535303776,0.022988505747126436,0.14285714285714285
rf,ethambutol,snp_pan,val,0.7569786535303776,0.11494252873563218,0.14285714285714285
rf,ethambutol,snp_pan,val,0.7569786535303776,0.11494252873563218,0.42857142857142855
rf,ethambutol,snp_pan,val,0.7569786535303776,0.12643678160919541,0.42857142857142855
rf,ethambutol,snp_pan,val,0.7569786535303776,0.12643678160919541,0.5
rf,ethambutol,snp_pan,val,0.7569786535303776,0.16091954022988506,0.5
rf,ethambutol,snp_pan,val,0.7569786535303776,0.16091954022988506,0.5714285714285714
rf,ethambutol,snp_pan,val,0.7569786535303776,0.1839080459770115,0.5714285714285714
rf,ethambutol,snp_pan,val,0.7569786535303776,0.1839080459770115,0.6428571428571429
rf,ethambutol,snp_pan,val,0.7569786535303776,0.2413793103448276,0.6428571428571429
rf,ethambutol,snp_pan,val,0.7569786535303776,0.2413793103448276,0.7142857142857143
rf,ethambutol,snp_pan,val,0.7569786535303776,0.47126436781609193,0.7142857142857143
rf,ethambutol,snp_pan,val,0.7569786535303776,0.47126436781609193,0.7857142857142857
rf,ethambutol,snp_pan,val,0.7569786535303776,0.4827586206896552,0.7857142857142857
rf,ethambutol,snp_pan,val,0.7569786535303776,0.4827586206896552,0.9285714285714286
rf,ethambutol,snp_pan,val,0.7569786535303776,0.7471264367816092,0.9285714285714286
rf,ethambutol,snp_pan,val,0.7569786535303776,0.7471264367816092,1.0
rf,ethambutol,snp_pan,val,0.7569786535303776,1.0,1.0
rf,ethambutol,snp_pan,test,0.9017857142857144,0.0,0.0
rf,ethambutol,snp_pan,test,0.9017857142857144,0.0,0.07142857142857142
rf,ethambutol,snp_pan,test,0.9017857142857144,0.0,0.14285714285714285
rf,ethambutol,snp_pan,test,0.9017857142857144,0.022727272727272728,0.14285714285714285
rf,ethambutol,snp_pan,test,0.9017857142857144,0.022727272727272728,0.35714285714285715
rf,ethambutol,snp_pan,test,0.9017857142857144,0.10227272727272728,0.35714285714285715
rf,ethambutol,snp_pan,test,0.9017857142857144,0.10227272727272728,0.5714285714285714
rf,ethambutol,snp_pan,test,0.9017857142857144,0.11363636363636363,0.5714285714285714
rf,ethambutol,snp_pan,test,0.9017857142857144,0.11363636363636363,0.6428571428571429
rf,ethambutol,snp_pan,test,0.9017857142857144,0.125,0.6428571428571429
rf,ethambutol,snp_pan,test,0.9017857142857144,0.125,0.7857142857142857
rf,ethambutol,snp_pan,test,0.9017857142857144,0.13636363636363635,0.7857142857142857
rf,ethambutol,snp_pan,test,0.9017857142857144,0.13636363636363635,0.8571428571428571
rf,ethambutol,snp_pan,test,0.9017857142857144,0.18181818181818182,0.8571428571428571
rf,ethambutol,snp_pan,test,0.9017857142857144,0.18181818181818182,0.9285714285714286
rf,ethambutol,snp_pan,test,0.9017857142857144,0.3181818181818182,0.9285714285714286
rf,ethambutol,snp_pan,test,0.9017857142857144,0.3181818181818182,1.0
rf,ethambutol,snp_pan,test,0.9017857142857144,1.0,1.0
