model,drug,input_type,split,auc,fpr,tpr
lr,rifampicin,snp_pan,val,0.9564625850340135,0.0,0.0
lr,rifampicin,snp_pan,val,0.9564625850340135,0.0,0.02857142857142857
lr,rifampicin,snp_pan,val,0.9564625850340135,0.0,0.6571428571428571
lr,rifampicin,snp_pan,val,0.9564625850340135,0.011904761904761904,0.6571428571428571
lr,rifampicin,snp_pan,val,0.9564625850340135,0.011904761904761904,0.7714285714285715
lr,rifampicin,snp_pan,val,0.9564625850340135,0.023809523809523808,0.7714285714285715
lr,rifampicin,snp_pan,val,0.9564625850340135,0.023809523809523808,0.9142857142857143
lr,rifampicin,snp_pan,val,0.9564625850340135,0.05952380952380952,0.9142857142857143
lr,rifampicin,snp_pan,val,0.9564625850340135,0.05952380952380952,0.9428571428571428
lr,rifampicin,snp_pan,val,0.9564625850340135,0.4523809523809524,0.9428571428571428
lr,rifampicin,snp_pan,val,0.9564625850340135,0.4523809523809524,0.9714285714285714
lr,rifampicin,snp_pan,val,0.9564625850340135,0.8452380952380952,0.9714285714285714
lr,rifampicin,snp_pan,val,0.9564625850340135,0.8452380952380952,1.0
lr,rifampicin,snp_pan,val,0.9564625850340135,1.0,1.0
lr,rifampicin,snp_pan,test,0.9374789915966386,0.0,0.0
lr,rifampicin,snp_pan,test,0.9374789915966386,0.0,0.02857142857142857
lr,rifampicin,snp_pan,test,0.9374789915966386,0.0,0.4
lr,rifampicin,snp_pan,test,0.9374789915966386,0.011764705882352941,0.4
lr,rifampicin,snp_pan,test,0.9374789915966386,0.011764705882352941,0.42857142857142855
lr,rifampicin,snp_pan,test,0.9374789915966386,0.023529411764705882,0.42857142857142855
lr,rifampicin,snp_pan,test,0.9374789915966386,0.023529411764705882,0.5428571428571428
lr,rifampicin,snp_pan,test,0.9374789915966386,0.03529411764705882,0.5428571428571428
lr,rifampicin,snp_pan,test,0.9374789915966386,0.03529411764705882,0.6
lr,rifampicin,snp_pan,test,0.9374789915966386,0.047058823529411764,0.6
lr,rifampicin,snp_pan,test,0.9374789915966386,0.047058823529411764,0.6285714285714286
lr,rifampicin,snp_pan,test,0.9374789915966386,0.058823529411764705,0.6285714285714286
lr,rifampicin,snp_pan,test,0.9374789915966386,0.058823529411764705,0.7142857142857143
lr,rifampicin,snp_pan,test,0.9374789915966386,0.07058823529411765,0.7142857142857143
lr,rifampicin,snp_pan,test,0.9374789915966386,0.07058823529411765,0.8285714285714286
lr,rifampicin,snp_pan,test,0.9374789915966386,0.08235294117647059,0.8285714285714286
lr,rifampicin,snp_pan,test,0.9374789915966386,0.08235294117647059,0.8571428571428571
lr,rifampicin,snp_pan,test,0.9374789915966386,0.09411764705882353,0.8571428571428571
lr,rifampicin,snp_pan,test,0.9374789915966386,0.09411764705882353,0.8857142857142857
lr,rifampicin,snp_pan,test,0.9374789915966386,0.23529411764705882,0.8857142857142857
lr,rifampicin,snp_pan,test,0.9374789915966386,0.23529411764705882,0.9142857142857143
lr,rifampicin,snp_pan,test,0.9374789915966386,0.25882352941176473,0.9142857142857143
lr,rifampicin,snp_pan,test,0.9374789915966386,0.25882352941176473,0.9428571428571428
lr,rifampicin,snp_pan,test,0.9374789915966386,0.2823529411764706,0.9428571428571428
lr,rifampicin,snp_pan,test,0.9374789915966386,0.2823529411764706,0.9714285714285714
lr,rifampicin,snp_pan,test,0.9374789915966386,0.5529411764705883,0.9714285714285714
lr,rifampicin,snp_pan,test,0.9374789915966386,0.5529411764705883,1.0
lr,rifampicin,snp_pan,test,0.9374789915966386,1.0,1.0
