model,drug,input_type,split,auc,fpr,tpr
rf,streptomycin,snp_pan,val,0.8825757575757576,0.0,0.0
rf,streptomycin,snp_pan,val,0.8825757575757576,0.0,0.09090909090909091
rf,streptomycin,snp_pan,val,0.8825757575757576,0.0,0.45454545454545453
rf,streptomycin,snp_pan,val,0.8825757575757576,0.041666666666666664,0.45454545454545453
rf,streptomycin,snp_pan,val,0.8825757575757576,0.041666666666666664,0.5454545454545454
rf,streptomycin,snp_pan,val,0.8825757575757576,0.08333333333333333,0.5454545454545454
rf,streptomycin,snp_pan,val,0.8825757575757576,0.08333333333333333,0.8181818181818182
rf,streptomycin,snp_pan,val,0.8825757575757576,0.5,0.8181818181818182
rf,streptomycin,snp_pan,val,0.8825757575757576,0.5,1.0
rf,streptomycin,snp_pan,val,0.8825757575757576,1.0,1.0
rf,streptomycin,snp_pan,test,0.7777777777777778,0.0,0.0
rf,streptomycin,snp_pan,test,0.7777777777777778,0.0,0.08333333333333333
rf,streptomycin,snp_pan,test,0.7777777777777778,0.0,0.25
rf,streptomycin,snp_pan,test,0.7777777777777778,0.041666666666666664,0.25
rf,streptomycin,snp_pan,test,0.7777777777777778,0.041666666666666664,0.3333333333333333
rf,streptomycin,snp_pan,test,0.7777777777777778,0.08333333333333333,0.3333333333333333
rf,streptomycin,snp_pan,test,0.7777777777777778,0.08333333333333333,0.4166666666666667
rf,streptomycin,snp_pan,test,0.7777777777777778,0.125,0.4166666666666667
rf,streptomycin,snp_pan,test,0.7777777777777778,0.125,0.75
rf,streptomycin,snp_pan,test,0.7777777777777778,0.3333333333333333,0.75
rf,streptomycin,snp_pan,test,0.7777777777777778,0.3333333333333333,0.8333333333333334
rf,streptomycin,snp_pan,test,0.7777777777777778,0.7083333333333334,0.8333333333333334
rf,streptomycin,snp_pan,test,0.7777777777777778,0.7083333333333334,0.9166666666666666
rf,streptomycin,snp_pan,test,0.7777777777777778,1.0,0.9166666666666666
rf,streptomycin,snp_pan,test,0.7777777777777778,1.0,1.0
