model,drug,input_type,split,auc,fpr,tpr
rf,rifampicin,snp,val,0.929678550973654,0.0,0.0
rf,rifampicin,snp,val,0.929678550973654,0.0,0.010309278350515464
rf,rifampicin,snp,val,0.929678550973654,0.0,0.020618556701030927
rf,rifampicin,snp,val,0.929678550973654,0.0,0.05154639175257732
rf,rifampicin,snp,val,0.929678550973654,0.0,0.16494845360824742
rf,rifampicin,snp,val,0.929678550973654,0.006944444444444444,0.16494845360824742
rf,rifampicin,snp,val,0.929678550973654,0.006944444444444444,0.21649484536082475
rf,rifampicin,snp,val,0.929678550973654,0.006944444444444444,0.23711340206185566
rf,rifampicin,snp,val,0.929678550973654,0.006944444444444444,0.26804123711340205
rf,rifampicin,snp,val,0.929678550973654,0.006944444444444444,0.28865979381443296
rf,rifampicin,snp,val,0.929678550973654,0.006944444444444444,0.30927835051546393
rf,rifampicin,snp,val,0.929678550973654,0.006944444444444444,0.3402061855670103
rf,rifampicin,snp,val,0.929678550973654,0.006944444444444444,0.35051546391752575
rf,rifampicin,snp,val,0.929678550973654,0.006944444444444444,0.3917525773195876
rf,rifampicin,snp,val,0.929678550973654,0.006944444444444444,0.4020618556701031
rf,rifampicin,snp,val,0.929678550973654,0.006944444444444444,0.44329896907216493
rf,rifampicin,snp,val,0.929678550973654,0.006944444444444444,0.4742268041237113
rf,rifampicin,snp,val,0.929678550973654,0.010416666666666666,0.4742268041237113
rf,rifampicin,snp,val,0.929678550973654,0.010416666666666666,0.4948453608247423
rf,rifampicin,snp,val,0.929678550973654,0.013888888888888888,0.4948453608247423
rf,rifampicin,snp,val,0.929678550973654,0.013888888888888888,0.5257731958762887
rf,rifampicin,snp,val,0.929678550973654,0.013888888888888888,0.5463917525773195
rf,rifampicin,snp,val,0.929678550973654,0.013888888888888888,0.5567010309278351
rf,rifampicin,snp,val,0.929678550973654,0.017361111111111112,0.5567010309278351
rf,rifampicin,snp,val,0.929678550973654,0.017361111111111112,0.5670103092783505
rf,rifampicin,snp,val,0.929678550973654,0.027777777777777776,0.5670103092783505
rf,rifampicin,snp,val,0.929678550973654,0.027777777777777776,0.5773195876288659
rf,rifampicin,snp,val,0.929678550973654,0.03125,0.5773195876288659
rf,rifampicin,snp,val,0.929678550973654,0.03125,0.5979381443298969
rf,rifampicin,snp,val,0.929678550973654,0.034722222222222224,0.6082474226804123
rf,rifampicin,snp,val,0.929678550973654,0.034722222222222224,0.6288659793814433
rf,rifampicin,snp,val,0.929678550973654,0.041666666666666664,0.6288659793814433
rf,rifampicin,snp,val,0.929678550973654,0.04513888888888889,0.6494845360824743
rf,rifampicin,snp,val,0.929678550973654,0.04861111111111111,0.6494845360824743
rf,rifampicin,snp,val,0.929678550973654,0.04861111111111111,0.6597938144329897
rf,rifampicin,snp,val,0.929678550973654,0.052083333333333336,0.6597938144329897
rf,rifampicin,snp,val,0.929678550973654,0.05555555555555555,0.6804123711340206
rf,rifampicin,snp,val,0.929678550973654,0.059027777777777776,0.6804123711340206
rf,rifampicin,snp,val,0.929678550973654,0.059027777777777776,0.7010309278350515
rf,rifampicin,snp,val,0.929678550973654,0.0625,0.7010309278350515
rf,rifampicin,snp,val,0.929678550973654,0.0625,0.7319587628865979
rf,rifampicin,snp,val,0.929678550973654,0.06944444444444445,0.7319587628865979
rf,rifampicin,snp,val,0.929678550973654,0.06944444444444445,0.7422680412371134
rf,rifampicin,snp,val,0.929678550973654,0.07291666666666667,0.7422680412371134
rf,rifampicin,snp,val,0.929678550973654,0.07291666666666667,0.7628865979381443
rf,rifampicin,snp,val,0.929678550973654,0.0763888888888889,0.7628865979381443
rf,rifampicin,snp,val,0.929678550973654,0.0798611111111111,0.7731958762886598
rf,rifampicin,snp,val,0.929678550973654,0.0798611111111111,0.7938144329896907
rf,rifampicin,snp,val,0.929678550973654,0.08680555555555555,0.7938144329896907
rf,rifampicin,snp,val,0.929678550973654,0.08680555555555555,0.8041237113402062
rf,rifampicin,snp,val,0.929678550973654,0.09027777777777778,0.8041237113402062
rf,rifampicin,snp,val,0.929678550973654,0.09027777777777778,0.8350515463917526
rf,rifampicin,snp,val,0.929678550973654,0.09375,0.845360824742268
rf,rifampicin,snp,val,0.929678550973654,0.1111111111111111,0.845360824742268
rf,rifampicin,snp,val,0.929678550973654,0.11458333333333333,0.845360824742268
rf,rifampicin,snp,val,0.929678550973654,0.12152777777777778,0.845360824742268
rf,rifampicin,snp,val,0.929678550973654,0.125,0.8556701030927835
rf,rifampicin,snp,val,0.929678550973654,0.1284722222222222,0.8556701030927835
rf,rifampicin,snp,val,0.929678550973654,0.14930555555555555,0.8556701030927835
rf,rifampicin,snp,val,0.929678550973654,0.1597222222222222,0.865979381443299
rf,rifampicin,snp,val,0.929678550973654,0.1701388888888889,0.865979381443299
rf,rifampicin,snp,val,0.929678550973654,0.1701388888888889,0.8762886597938144
rf,rifampicin,snp,val,0.929678550973654,0.17708333333333334,0.8762886597938144
rf,rifampicin,snp,val,0.929678550973654,0.18055555555555555,0.8865979381443299
rf,rifampicin,snp,val,0.929678550973654,0.1909722222222222,0.8865979381443299
rf,rifampicin,snp,val,0.929678550973654,0.2048611111111111,0.8969072164948454
rf,rifampicin,snp,val,0.929678550973654,0.20833333333333334,0.8969072164948454
rf,rifampicin,snp,val,0.929678550973654,0.2152777777777778,0.8969072164948454
rf,rifampicin,snp,val,0.929678550973654,0.21875,0.8969072164948454
rf,rifampicin,snp,val,0.929678550973654,0.21875,0.9072164948453608
rf,rifampicin,snp,val,0.929678550973654,0.2222222222222222,0.9072164948453608
rf,rifampicin,snp,val,0.929678550973654,0.2361111111111111,0.9072164948453608
rf,rifampicin,snp,val,0.929678550973654,0.24305555555555555,0.9175257731958762
rf,rifampicin,snp,val,0.929678550973654,0.2534722222222222,0.9175257731958762
rf,rifampicin,snp,val,0.929678550973654,0.2638888888888889,0.9278350515463918
rf,rifampicin,snp,val,0.929678550973654,0.2743055555555556,0.9278350515463918
rf,rifampicin,snp,val,0.929678550973654,0.28125,0.9278350515463918
rf,rifampicin,snp,val,0.929678550973654,0.28125,0.9381443298969072
rf,rifampicin,snp,val,0.929678550973654,0.2916666666666667,0.9381443298969072
rf,rifampicin,snp,val,0.929678550973654,0.2986111111111111,0.9381443298969072
rf,rifampicin,snp,val,0.929678550973654,0.3194444444444444,0.9381443298969072
rf,rifampicin,snp,val,0.929678550973654,0.3194444444444444,0.9484536082474226
rf,rifampicin,snp,val,0.929678550973654,0.3298611111111111,0.9484536082474226
rf,rifampicin,snp,val,0.929678550973654,0.34375,0.9484536082474226
rf,rifampicin,snp,val,0.929678550973654,0.3472222222222222,0.9484536082474226
rf,rifampicin,snp,val,0.929678550973654,0.3611111111111111,0.9484536082474226
rf,rifampicin,snp,val,0.929678550973654,0.3784722222222222,0.9484536082474226
rf,rifampicin,snp,val,0.929678550973654,0.3923611111111111,0.9484536082474226
rf,rifampicin,snp,val,0.929678550973654,0.3958333333333333,0.9484536082474226
rf,rifampicin,snp,val,0.929678550973654,0.3958333333333333,0.9587628865979382
rf,rifampicin,snp,val,0.929678550973654,0.4027777777777778,0.9587628865979382
rf,rifampicin,snp,val,0.929678550973654,0.40625,0.9587628865979382
rf,rifampicin,snp,val,0.929678550973654,0.4201388888888889,0.9587628865979382
rf,rifampicin,snp,val,0.929678550973654,0.4409722222222222,0.9587628865979382
rf,rifampicin,snp,val,0.929678550973654,0.4548611111111111,0.979381443298969
rf,rifampicin,snp,val,0.929678550973654,0.4583333333333333,0.979381443298969
rf,rifampicin,snp,val,0.929678550973654,0.4722222222222222,0.9896907216494846
rf,rifampicin,snp,val,0.929678550973654,0.4861111111111111,0.9896907216494846
rf,rifampicin,snp,val,0.929678550973654,0.5034722222222222,0.9896907216494846
rf,rifampicin,snp,val,0.929678550973654,0.5277777777777778,0.9896907216494846
rf,rifampicin,snp,val,0.929678550973654,0.5486111111111112,0.9896907216494846
rf,rifampicin,snp,val,0.929678550973654,0.5520833333333334,0.9896907216494846
rf,rifampicin,snp,val,0.929678550973654,0.5798611111111112,0.9896907216494846
rf,rifampicin,snp,val,0.929678550973654,0.5868055555555556,0.9896907216494846
rf,rifampicin,snp,val,0.929678550973654,0.5972222222222222,0.9896907216494846
rf,rifampicin,snp,val,0.929678550973654,0.6006944444444444,0.9896907216494846
rf,rifampicin,snp,val,0.929678550973654,0.6215277777777778,0.9896907216494846
rf,rifampicin,snp,val,0.929678550973654,0.6284722222222222,0.9896907216494846
rf,rifampicin,snp,val,0.929678550973654,0.6527777777777778,0.9896907216494846
rf,rifampicin,snp,val,0.929678550973654,0.65625,0.9896907216494846
