model,drug,input_type,split,auc,fpr,tpr
lr,streptomycin,snp,val,0.9076817870982449,0.0,0.0
lr,streptomycin,snp,val,0.9076817870982449,0.0,0.024390243902439025
lr,streptomycin,snp,val,0.9076817870982449,0.0,0.04878048780487805
lr,streptomycin,snp,val,0.9076817870982449,0.0,0.14634146341463414
lr,streptomycin,snp,val,0.9076817870982449,0.0,0.21951219512195122
lr,streptomycin,snp,val,0.9076817870982449,0.0,0.34146341463414637
lr,streptomycin,snp,val,0.9076817870982449,0.0,0.3902439024390244
lr,streptomycin,snp,val,0.9076817870982449,0.0,0.4878048780487805
lr,streptomycin,snp,val,0.9076817870982449,0.009345794392523364,0.4878048780487805
lr,streptomycin,snp,val,0.9076817870982449,0.028037383177570093,0.4878048780487805
lr,streptomycin,snp,val,0.9076817870982449,0.037383177570093455,0.5365853658536586
lr,streptomycin,snp,val,0.9076817870982449,0.04672897196261682,0.5365853658536586
lr,streptomycin,snp,val,0.9076817870982449,0.04672897196261682,0.5853658536585366
lr,streptomycin,snp,val,0.9076817870982449,0.04672897196261682,0.6097560975609756
lr,streptomycin,snp,val,0.9076817870982449,0.056074766355140186,0.6585365853658537
lr,streptomycin,snp,val,0.9076817870982449,0.06542056074766354,0.6585365853658537
lr,streptomycin,snp,val,0.9076817870982449,0.06542056074766354,0.7317073170731707
lr,streptomycin,snp,val,0.9076817870982449,0.07476635514018691,0.7317073170731707
lr,streptomycin,snp,val,0.9076817870982449,0.07476635514018691,0.7560975609756098
lr,streptomycin,snp,val,0.9076817870982449,0.08411214953271028,0.7560975609756098
lr,streptomycin,snp,val,0.9076817870982449,0.09345794392523364,0.8048780487804879
lr,streptomycin,snp,val,0.9076817870982449,0.09345794392523364,0.8536585365853658
lr,streptomycin,snp,val,0.9076817870982449,0.14018691588785046,0.8536585365853658
lr,streptomycin,snp,val,0.9076817870982449,0.14953271028037382,0.8780487804878049
lr,streptomycin,snp,val,0.9076817870982449,0.1588785046728972,0.8780487804878049
lr,streptomycin,snp,val,0.9076817870982449,0.19626168224299065,0.8780487804878049
lr,streptomycin,snp,val,0.9076817870982449,0.22429906542056074,0.8780487804878049
lr,streptomycin,snp,val,0.9076817870982449,0.2523364485981308,0.8780487804878049
lr,streptomycin,snp,val,0.9076817870982449,0.27102803738317754,0.8780487804878049
