model,drug,input_type,split,auc,fpr,tpr
rf,streptomycin,snp,val,0.844654661499886,0.0,0.0
rf,streptomycin,snp,val,0.844654661499886,0.0,0.024390243902439025
rf,streptomycin,snp,val,0.844654661499886,0.0,0.04878048780487805
rf,streptomycin,snp,val,0.844654661499886,0.0,0.0975609756097561
rf,streptomycin,snp,val,0.844654661499886,0.0,0.17073170731707318
rf,streptomycin,snp,val,0.844654661499886,0.0,0.21951219512195122
rf,streptomycin,snp,val,0.844654661499886,0.009345794392523364,0.21951219512195122
rf,streptomycin,snp,val,0.844654661499886,0.009345794392523364,0.24390243902439024
rf,streptomycin,snp,val,0.844654661499886,0.018691588785046728,0.2682926829268293
rf,streptomycin,snp,val,0.844654661499886,0.018691588785046728,0.2926829268292683
rf,streptomycin,snp,val,0.844654661499886,0.028037383177570093,0.2926829268292683
rf,streptomycin,snp,val,0.844654661499886,0.028037383177570093,0.3170731707317073
rf,streptomycin,snp,val,0.844654661499886,0.037383177570093455,0.3170731707317073
rf,streptomycin,snp,val,0.844654661499886,0.037383177570093455,0.4878048780487805
rf,streptomycin,snp,val,0.844654661499886,0.102803738317757,0.4878048780487805
rf,streptomycin,snp,val,0.844654661499886,0.102803738317757,0.6341463414634146
rf,streptomycin,snp,val,0.844654661499886,0.12149532710280374,0.6341463414634146
rf,streptomycin,snp,val,0.844654661499886,0.1308411214953271,0.6585365853658537
rf,streptomycin,snp,val,0.844654661499886,0.14953271028037382,0.6585365853658537
rf,streptomycin,snp,val,0.844654661499886,0.16822429906542055,0.6585365853658537
rf,streptomycin,snp,val,0.844654661499886,0.18691588785046728,0.7073170731707317
rf,streptomycin,snp,val,0.844654661499886,0.21495327102803738,0.7073170731707317
rf,streptomycin,snp,val,0.844654661499886,0.21495327102803738,0.7317073170731707
rf,streptomycin,snp,val,0.844654661499886,0.22429906542056074,0.7317073170731707
rf,streptomycin,snp,val,0.844654661499886,0.2336448598130841,0.7560975609756098
rf,streptomycin,snp,val,0.844654661499886,0.2336448598130841,0.8048780487804879
rf,streptomycin,snp,val,0.844654661499886,0.24299065420560748,0.8292682926829268
rf,streptomycin,snp,val,0.844654661499886,0.2616822429906542,0.8292682926829268
rf,streptomycin,snp,val,0.844654661499886,0.2616822429906542,0.8536585365853658
rf,streptomycin,snp,val,0.844654661499886,0.2803738317757009,0.8536585365853658
rf,streptomycin,snp,val,0.844654661499886,0.35514018691588783,0.8536585365853658
rf,streptomycin,snp,val,0.844654661499886,0.37383177570093457,0.8780487804878049
rf,streptomycin,snp,val,0.844654661499886,0.411214953271028,0.8780487804878049
rf,streptomycin,snp,val,0.844654661499886,0.4205607476635514,0.8780487804878049
rf,streptomycin,snp,val,0.844654661499886,0.45794392523364486,0.926829268292683
rf,streptomycin,snp,val,0.844654661499886,0.4953271028037383,0.926829268292683
rf,streptomycin,snp,val,0.844654661499886,0.5046728971962616,0.926829268292683
rf,streptomycin,snp,val,0.844654661499886,0.5327102803738317,0.926829268292683
rf,streptomycin,snp,val,0.844654661499886,0.5607476635514018,0.9512195121951219
rf,streptomycin,snp,val,0.844654661499886,0.5794392523364486,0.9512195121951219
rf,streptomycin,snp,val,0.844654661499886,0.5887850467289719,0.9512195121951219
rf,streptomycin,snp,val,0.844654661499886,0.6355140186915887,0.9512195121951219
rf,streptomycin,snp,val,0.844654661499886,0.6542056074766355,0.9512195121951219
rf,streptomycin,snp,val,0.844654661499886,0.6635514018691588,0.9512195121951219
rf,streptomycin,snp,val,0.844654661499886,0.7476635514018691,0.9512195121951219
rf,streptomycin,snp,val,0.844654661499886,0.7663551401869159,0.9512195121951219
rf,streptomycin,snp,val,0.844654661499886,0.8411214953271028,0.975609756097561
rf,streptomycin,snp,val,0.844654661499886,0.8691588785046729,0.975609756097561
rf,streptomycin,snp,val,0.844654661499886,1.0,1.0
rf,streptomycin,snp,test,0.9181130396083667,0.0,0.0
rf,streptomycin,snp,test,0.9181130396083667,0.0,0.023809523809523808
rf,streptomycin,snp,test,0.9181130396083667,0.0,0.07142857142857142
rf,streptomycin,snp,test,0.9181130396083667,0.0,0.09523809523809523
rf,streptomycin,snp,test,0.9181130396083667,0.009345794392523364,0.09523809523809523
rf,streptomycin,snp,test,0.9181130396083667,0.009345794392523364,0.21428571428571427
rf,streptomycin,snp,test,0.9181130396083667,0.009345794392523364,0.2619047619047619
rf,streptomycin,snp,test,0.9181130396083667,0.009345794392523364,0.35714285714285715
rf,streptomycin,snp,test,0.9181130396083667,0.009345794392523364,0.40476190476190477
rf,streptomycin,snp,test,0.9181130396083667,0.009345794392523364,0.47619047619047616
rf,streptomycin,snp,test,0.9181130396083667,0.009345794392523364,0.5238095238095238
rf,streptomycin,snp,test,0.9181130396083667,0.028037383177570093,0.5238095238095238
rf,streptomycin,snp,test,0.9181130396083667,0.028037383177570093,0.5476190476190477
rf,streptomycin,snp,test,0.9181130396083667,0.037383177570093455,0.5476190476190477
rf,streptomycin,snp,test,0.9181130396083667,0.037383177570093455,0.5952380952380952
rf,streptomycin,snp,test,0.9181130396083667,0.056074766355140186,0.5952380952380952
rf,streptomycin,snp,test,0.9181130396083667,0.06542056074766354,0.6190476190476191
rf,streptomycin,snp,test,0.9181130396083667,0.06542056074766354,0.6428571428571429
rf,streptomycin,snp,test,0.9181130396083667,0.07476635514018691,0.6428571428571429
rf,streptomycin,snp,test,0.9181130396083667,0.07476635514018691,0.6666666666666666
rf,streptomycin,snp,test,0.9181130396083667,0.07476635514018691,0.7142857142857143
rf,streptomycin,snp,test,0.9181130396083667,0.08411214953271028,0.7619047619047619
rf,streptomycin,snp,test,0.9181130396083667,0.102803738317757,0.7619047619047619
rf,streptomycin,snp,test,0.9181130396083667,0.102803738317757,0.7857142857142857
rf,streptomycin,snp,test,0.9181130396083667,0.11214953271028037,0.7857142857142857
rf,streptomycin,snp,test,0.9181130396083667,0.11214953271028037,0.8095238095238095
rf,streptomycin,snp,test,0.9181130396083667,0.12149532710280374,0.8095238095238095
rf,streptomycin,snp,test,0.9181130396083667,0.12149532710280374,0.8333333333333334
rf,streptomycin,snp,test,0.9181130396083667,0.14018691588785046,0.8333333333333334
rf,streptomycin,snp,test,0.9181130396083667,0.14953271028037382,0.8333333333333334
rf,streptomycin,snp,test,0.9181130396083667,0.14953271028037382,0.8809523809523809
rf,streptomycin,snp,test,0.9181130396083667,0.205607476635514,0.8809523809523809
rf,streptomycin,snp,test,0.9181130396083667,0.21495327102803738,0.9047619047619048
rf,streptomycin,snp,test,0.9181130396083667,0.22429906542056074,0.9047619047619048
rf,streptomycin,snp,test,0.9181130396083667,0.24299065420560748,0.9047619047619048
rf,streptomycin,snp,test,0.9181130396083667,0.2523364485981308,0.9047619047619048
rf,streptomycin,snp,test,0.9181130396083667,0.27102803738317754,0.9285714285714286
rf,streptomycin,snp,test,0.9181130396083667,0.2803738317757009,0.9285714285714286
rf,streptomycin,snp,test,0.9181130396083667,0.2803738317757009,0.9523809523809523
rf,streptomycin,snp,test,0.9181130396083667,0.29906542056074764,0.9523809523809523
rf,streptomycin,snp,test,0.9181130396083667,0.308411214953271,0.9523809523809523
rf,streptomycin,snp,test,0.9181130396083667,0.34579439252336447,0.9523809523809523
rf,streptomycin,snp,test,0.9181130396083667,0.3644859813084112,0.9523809523809523
rf,streptomycin,snp,test,0.9181130396083667,0.42990654205607476,0.9523809523809523
rf,streptomycin,snp,test,0.9181130396083667,0.4672897196261682,0.9523809523809523
rf,streptomycin,snp,test,0.9181130396083667,0.514018691588785,0.9523809523809523
rf,streptomycin,snp,test,0.9181130396083667,0.5233644859813084,0.9761904761904762
rf,streptomycin,snp,test,0.9181130396083667,0.5420560747663551,0.9761904761904762
rf,streptomycin,snp,test,0.9181130396083667,0.5607476635514018,0.9761904761904762
rf,streptomycin,snp,test,0.9181130396083667,0.616822429906542,0.9761904761904762
rf,streptomycin,snp,test,0.9181130396083667,0.6822429906542056,0.9761904761904762
rf,streptomycin,snp,test,0.9181130396083667,0.719626168224299,0.9761904761904762
rf,streptomycin,snp,test,0.9181130396083667,0.7850467289719626,1.0
rf,streptomycin,snp,test,0.9181130396083667,0.8317757009345794,1.0
rf,streptomycin,snp,test,0.9181130396083667,1.0,1.0
